n,pearson_r,pearson_p,spearman_r,spearman_p,slope_pct_per_C,intercept_pct,median_penalty_pct,scope,winter,outcome,weighted_slope_per_C
49,-0.33844551313976506,0.01737734463024841,-0.25785714285714284,0.07364885596688825,-0.018828979899553417,1.0290414752831778,164.5579294086298,us,W1 2020冬-2021春,死亡惩罚,0.05806061590007239
49,-0.4183381388267695,0.0027781396512878646,-0.28551020408163263,0.04674716243232273,-0.021238228104452625,1.0351135106829945,143.6058853352188,us,W2 2021冬-2022春,死亡惩罚,0.048536735404704275
99,-0.49433857288384536,1.9894413952199002e-07,-0.521756338899196,3.059526133542128e-08,-0.06011134446244235,1.4693439914542106,94.04882054991259,global,W1 2020冬-2021春,死亡惩罚,0.02730614621042918
109,-0.29873653673655237,0.0016032038999046385,-0.4730701510518025,2.0519085300453435e-07,-0.032998699927728053,1.2356782213058461,136.8785693258459,global,W2 2021冬-2022春,死亡惩罚,0.05322024074456963
