bin,beta,se,z,p,pct_vs_ref,term
<0C,-0.3857849618780272,0.29782457198446893,-1.2953429574580073,0.19520194643249733,-32.00832820245692,
0-5C,-0.31987380377480595,0.27011594668164984,-1.1842092542274045,0.23633023974574052,-27.375931987652024,
5-10C,-0.3521716260738797,0.23113130827895845,-1.523686378518805,0.127587073762923,-29.684056887268696,
10-15C,-0.1967352575413604,0.1847042135097813,-1.0651368141687898,0.2868140219112202,-17.859193387948903,
15-20C,-0.21118078888963102,0.13422251874612584,-1.5733633287650286,0.11563471317278554,-19.03723180403447,
20-25C,0.0,0.0,,,0.0,ref
>25C,0.10136684348079235,0.06570318468588274,1.5427995456447403,0.1228794197675274,10.668254658462395,
