bin,beta,se,z,p,pct_vs_ref,term
<0C,-0.00767833255779671,0.11541316212878869,-0.06652908919719673,0.9469565991754322,-0.7648929466063326,
0-5C,-0.10403941072543112,0.13175281730995445,-0.7896560608694515,0.42972865866632337,-9.881021982165873,
5-10C,-0.06042877530948697,0.10737670822290127,-0.5627735875832962,0.5735890678431531,-5.863918523658629,
10-15C,-0.014398462790151657,0.1435631259655023,-0.10029360041666657,0.9201112380043638,-1.4295300643750175,
15-20C,-0.08327647312887994,0.07697157215473589,-1.0819120721799642,0.2792916001169461,-7.990326996983665,
20-25C,0.0,0.0,,,0.0,ref
>25C,-0.033952961800380856,0.06837155192966644,-0.49659486792559776,0.6194747729298034,-3.338302850978092,
