dropped,beta,se,p,shift
Alabama,-0.05816022715171473,0.02176310439884944,0.0075305588857023185,0.02174563649449776
Alaska,-0.036408650368053234,0.00941894326501091,0.00011087510407293192,5.940289163737511e-06
Arizona,-0.036738735930895446,0.009390943715150896,9.147985731096152e-05,0.0003241452736784736
Arkansas,-0.03631199259815122,0.009375043459878931,0.00010738860220891747,0.00010259805906575464
California,-0.03855038678596744,0.009016510480429242,1.9068067779498093e-05,0.002135796128750471
Colorado,-0.03702666576953398,0.009393515706985309,8.089733599106954e-05,0.0006120751123170065
Connecticut,-0.03667253213036742,0.009420424793211861,9.906337691861546e-05,0.000257941473150447
Delaware,-0.03648062714265115,0.009396244325389727,0.00010340120930274237,6.603648543417745e-05
District of Columbia,-0.03641409519553071,0.009403390112541883,0.00010774973977682009,4.954616862618e-07
Florida,-0.03649718750538886,0.011159029343913945,0.0010730374182654785,8.259684817189111e-05
Georgia,-0.03613434076219786,0.009305831850135764,0.00010318488817649288,0.0002802498950191107
Hawaii,-0.036675379894519834,0.009439078378404528,0.00010212658098701291,0.00026078923730286224
Idaho,-0.03663845997980243,0.0093706950244524,9.233517415875441e-05,0.00022386932258545988
Illinois,-0.036873492616869404,0.009431183444836703,9.239480842015394e-05,0.0004589019596524316
Indiana,-0.036503386567014406,0.009464166176882456,0.00011478232041035199,8.879590979743446e-05
Iowa,-0.036230738760757907,0.009589383781226023,0.0001579574683622284,0.00018385189645906547
Kansas,-0.03662207161104762,0.00941453655777135,0.0001002650923872697,0.00020748095383064935
Kentucky,-0.0364477660832457,0.00942517475197502,0.00011015294690056855,3.317542602872953e-05
Louisiana,-0.03613419886298925,0.009368713713321056,0.00011483376529950132,0.00028039179422772315
Maine,-0.03654730051676681,0.009398908097001958,0.0001008813043423549,0.00013270985954983577
Maryland,-0.03657846504219029,0.009381992277075773,9.667255466557641e-05,0.00016387438497331847
Massachusetts,-0.03653360674156297,0.009328979214115418,8.99772868473939e-05,0.00011901608434599503
Michigan,-0.036574814718790066,0.009287012791432854,8.206934002502274e-05,0.00016022406157309432
Minnesota,-0.037457303516574274,0.009490252022816652,7.91616699071968e-05,0.0010427128593573018
Mississippi,-0.03630098926488596,0.009373218056106306,0.00010757372488610327,0.0001136013923310128
Missouri,-0.0362149165690066,0.009444287075586817,0.00012577674267726056,0.0001996740882103734
Montana,-0.03659956817744236,0.009397577725356546,9.837118591306298e-05,0.00018497752022538644
Nebraska,-0.03668343642408347,0.009398322312036002,9.49331714771139e-05,0.0002688457668664976
Nevada,-0.03670266581902774,0.009395051905981512,9.360572681383513e-05,0.0002880751618107649
New Hampshire,-0.036522900307057335,0.009391732413985584,0.00010072645143917203,0.00010830964984036295
New Jersey,-0.03653919744763031,0.009304863015293027,8.605039208594584e-05,0.00012460679041333828
New Mexico,-0.036611720633964104,0.009397043277560645,9.775831990562832e-05,0.00019712997674713184
New York,-0.03753119632094722,0.008684817199086304,1.549915633195319e-05,0.001116605663730251
North Carolina,-0.03630444837131907,0.009387865389336359,0.00011010678222433764,0.00011014228589790315
North Dakota,-0.03659481469887696,0.009421984800443971,0.0001027597280721081,0.00018022404165998762
Ohio,-0.037113721485212435,0.009316118358757817,6.781677301761367e-05,0.0006991308279954631
Oklahoma,-0.037423664203962606,0.009239719000029635,5.1151294630869586e-05,0.001009073546745634
Oregon,-0.036496169219790084,0.009404047852300281,0.00010407063265615546,8.157856257311191e-05
Pennsylvania,-0.03640128857690606,0.009278205203446584,8.734012945415803e-05,1.3302080310910458e-05
Puerto Rico,-0.037112225361231516,0.009491465415858007,9.227214776397556e-05,0.0006976347040145436
Rhode Island,-0.03651449383059025,0.009431575057563826,0.00010816055190987445,9.990317337327942e-05
South Carolina,-0.0362363123121882,0.009373823313173114,0.00011077473469416927,0.00017827834502877338
South Dakota,-0.0364000620751984,0.009431781080880433,0.00011371280089249831,1.452858201857199e-05
Tennessee,-0.03648248680171083,0.00919969691691139,7.320592094306156e-05,6.789614449385917e-05
Texas,-0.035666757928766654,0.009432618185226989,0.00015606478014269025,0.0007478327284503178
Utah,-0.03655366056912054,0.009400782822555211,0.00010092241249201051,0.00013906991190356516
Vermont,-0.036477405187788164,0.009391147939100255,0.00010265349971318295,6.281453057119246e-05
Virginia,-0.036479476993913844,0.009406699862596466,0.00010530514866426529,6.488633669687188e-05
Washington,-0.03658028035593416,0.009196709517479137,6.96318998870009e-05,0.00016568969871718492
West Virginia,-0.0364663254885228,0.009403653458495871,0.0001053667141560602,5.1734831305827456e-05
Wisconsin,-0.036435797698419835,0.009574787935008506,0.00014158119895538065,2.120704120286282e-05
Wyoming,-0.03649857355544032,0.009408837127454822,0.00010480914523362576,8.39828982233462e-05
