region,lat,winter,cfr_w,cfr_s1,cfr_s2,temp_w,temp_s,cases_w,cases_s,penalty_cfr,penalty_cases,penalty_deaths_pm,penalty_cases_pm
Alabama,33.06935820714117,W1 2020冬-2021春,0.022842048014917255,0.015577463834400515,0.015788317389863454,10.34847004608295,24.01822580645161,321775.0,208069.0,0.3760552963663426,0.48012625934594944,0.8561815557122898,0.48012625934594766
Alaska,61.5692043399056,W1 2020冬-2021春,0.004942410177067217,0.006696962449174839,0.006943698002880667,-6.005866359447006,12.544166666666666,46536.0,27439.5,-0.32189116960752706,0.85846847155182,0.536577301944293,0.85846847155182
Arizona,33.32551393530557,W1 2020冬-2021春,0.018027573359737526,0.02414015517993664,0.014016426784833351,15.196697388632874,32.71045161290323,595865.0,220969.0,-0.020150874646755135,0.9930409307542121,0.972890056107456,0.9930409307542121
Arkansas,34.01505580790345,W1 2020冬-2021春,0.01544856283912597,0.020406386788698768,0.015129215725404111,9.281519201228878,24.357032258064518,218208.0,120384.0,-0.12872183133197712,0.6531564562689933,0.5244346249370171,0.6531564562689951
California,35.366595098919404,W1 2020冬-2021春,0.014894558324730866,0.017618927762396173,0.009980901928041536,11.782654377880183,29.517,2786991.0,854276.5,0.11617232063551342,1.1872644254098184,1.3034367460453318,1.1872644254098184
Colorado,39.51493622068787,W1 2020冬-2021春,0.007747087055625558,0.013765736660053027,0.011941319116874237,0.4367004608294932,20.16652688172043,353165.0,107446.0,-0.5037767084392044,1.3147177454097392,0.8109410369705365,1.314717745409741
Connecticut,41.37844392575823,W1 2020冬-2021春,0.013361624278977684,0.03296482412060302,0.009958522460478948,2.4130506912442398,19.800344086021507,239417.0,40481.0,-0.30454814674574937,1.8131047298938796,1.5085565831481293,1.8131047298938778
Delaware,39.133656095396745,W1 2020冬-2021春,0.011696325034716754,0.016814660872850936,0.013691434974437986,5.86073425499232,22.5257311827957,69851.0,22218.5,-0.26023612204953395,1.187897107716731,0.9276609856671945,1.1878971077167293
District of Columbia,38.90417772999957,W1 2020冬-2021春,0.015671450067897382,0.02090338998454967,0.004308023694130318,5.305566820276498,22.28216666666667,27247.0,12001.0,0.501645287250688,0.8234232261487637,,
Florida,27.573776588401255,W1 2020冬-2021春,0.01329362613409306,0.020905850844051804,0.016428652423609767,19.115261136712746,26.436526881720432,1255188.0,1011057.5,-0.3322433046384514,0.2756307319381115,-0.056612572700339925,0.2756307319381115
