region,lat,lon,population,final_confirmed,final_deaths,rev_confirmed,rev_deaths,rev_pct
Alabama,33.06935820714117,-86.773926301394,4903185,1644533.0,21032.0,9144.0,107.0,0.556024111404271
Alaska,61.5692043399056,-149.53056365120472,740995,307655.0,1486.0,1893.0,1.0,0.6152996050771156
Arizona,33.32551393530557,-112.21460712419865,7278717,2443514.0,33102.0,0.0,286.0,0.0
Arkansas,34.01505580790345,-89.51919227384546,3017804,1006883.0,13020.0,409.0,181.0,0.04062040971989794
California,35.366595098919404,-118.88904534163693,39512223,12129699.0,101159.0,5959.0,889.0,0.049127352624331405
Colorado,39.51493622068787,-105.03399587622546,5758736,1764401.0,14181.0,3133.0,26.0,0.17756734438486488
Connecticut,41.37844392575823,-72.65080509662981,3565287,976657.0,12220.0,27.0,32.0,0.0027645324817208087
Delaware,39.133656095396745,-75.31355630495604,973764,330793.0,3324.0,1764.0,14.0,0.5332640049819676
District of Columbia,38.90417772999957,-77.01655991999914,705749,177945.0,1432.0,256.0,5.0,0.14386467728792604
Florida,27.573776588401255,-81.53912579526616,21477737,7574590.0,86850.0,29647.0,15.0,0.39140072267937936
Georgia,32.186013835788614,-80.8518208429834,10617423,3068208.0,42489.0,160.0,8.0,0.0052147703154414565
Hawaii,20.692486293324656,-153.8126092439857,1415872,380608.0,1841.0,168.0,3.0,0.04413990247183454
Idaho,44.062344729583536,-115.25076884066135,1787065,521120.0,5416.0,2441.0,32.0,0.4684141848326681
Illinois,41.19841161920047,-88.43988610026587,12671821,4083292.0,41496.0,60.0,27.0,0.0014694026290551839
Indiana,40.08967303929022,-86.25121304930218,6732219,2051104.0,26115.0,0.0,1.0,0.0
Iowa,41.95646209273208,-93.02195143329607,3155070,903991.0,10725.0,1420.0,8.0,0.1570812098793019
Kansas,38.43880632992502,-96.49618045086815,2913314,938184.0,10066.0,122.0,241.0,0.013003845727490556
Kentucky,37.751990303875296,-85.05163738249543,4467673,1718471.0,18130.0,1249.0,7.0,0.07268088899958161
