region,lat,lon,population,final_confirmed,final_deaths,rev_confirmed,rev_deaths,rev_pct
Louisiana,30.71736722204497,-91.43049482182202,4648794,1573810.0,18766.0,119.0,0.0,0.007561268513988347
Maine,44.43607672355733,-69.8306569729527,1344212,318130.0,2928.0,16.0,5.0,0.005029390500738692
Maryland,39.13330786841944,-76.84109489857899,6045680,1365297.0,16544.0,30.0,66.0,0.0021973240987125876
Massachusetts,38.45458355915479,-64.94209837160699,6892503,2224337.0,24333.0,280.0,609.0,0.012588020610186317
Michigan,42.12277369271249,-82.76271193193871,9986857,3064125.0,42205.0,13.0,10.0,0.0004242646758862644
Minnesota,45.198362871237634,-93.5719989351897,5639632,1778866.0,14870.0,0.0,34.0,0.0
Mississippi,32.63286564690713,-89.54046730619866,2976149,990756.0,13370.0,0.0,0.0,0.0
Missouri,38.442382193754945,-92.23530681611456,6626371,1777380.0,22870.0,16498.0,380.0,0.9282201892673486
Montana,46.80225530131097,-111.22719082767178,1068778,329386.0,3652.0,2.0,8.0,0.0006071903481022266
Nebraska,41.06418080842873,-96.94292518160769,1934408,567426.0,4936.0,12161.0,160.0,2.1431869530123753
Nevada,36.67590885162251,-114.46920613056065,3080156,890122.0,11922.0,3390.0,25.0,0.38084667045640935
New Hampshire,42.919692985787975,-71.08270212265217,1359711,378428.0,3003.0,63.0,12.0,0.0166478167577452
New Jersey,40.418263788370275,-74.39047069089229,8882190,3048984.0,36015.0,9454.0,201.0,0.3100705021738389
New Mexico,34.22559203172522,-105.31764545925724,2096829,670929.0,9061.0,0.0,10.0,0.0
New York,41.33499323866982,-74.41087882430789,19453561,6794738.0,77157.0,0.0,193.0,0.0
North Carolina,35.5443369351402,-79.6429505341655,10488084,3472644.0,28432.0,0.0,4.0,0.0
North Dakota,47.365995809785694,-99.5121727253991,762062,286950.0,2470.0,0.0,207.0,0.0
Ohio,40.39834667583883,-82.83400237730908,11689100,3400652.0,41796.0,0.0,0.0,0.0
Oklahoma,35.589254707587955,-96.8019905390081,3956971,1290929.0,17972.0,1302.0,707.0,0.10085759944969863
Oregon,44.66039539962666,-122.37295770296181,4217737,963564.0,9373.0,0.0,1.0,0.0
Pennsylvania,40.47103564303458,-77.05373350334503,12801989,3527854.0,50398.0,4116.0,24.0,0.11667149490880291
Puerto Rico,17.84316234446089,-64.78209728028114,3754939,1101469.0,5823.0,575.0,1.0,0.05220301252236786
Rhode Island,39.0407267199561,-66.86807049066306,1059361,460697.0,3870.0,1432.0,8.0,0.31083336770154785
South Carolina,34.0646144999731,-81.04233351338874,5148714,1836568.0,19600.0,3107.0,102.0,0.1691742423912428
South Dakota,44.019343828825924,-98.96859086397932,884659,279130.0,3190.0,5.0,1.0,0.0017912800487228174
Tennessee,34.318710119315035,-82.60362197077946,6829174,2515130.0,29263.0,5128.0,149.0,0.20388608143515444
Texas,30.47745530398597,-96.26822630244439,28995881,8466220.0,93390.0,276.0,55.0,0.0032600145047022165
Utah,40.2422809672315,-111.36358350528086,3205958,1090346.0,5298.0,0.0,5.0,0.0
Vermont,42.80521247210115,-70.70793826831996,623989,152618.0,929.0,2.0,1.0,0.0013104614134636806
Virginia,37.799101309493665,-77.89250721358695,8535519,2291951.0,23666.0,457.0,112.0,0.019939344252996684
Washington,47.214833468969495,-121.085541721841,7614893,1928913.0,15683.0,4105.0,182.0,0.21281416009949644
West Virginia,38.71626293256997,-80.54230608523085,1792147,642760.0,7960.0,4.0,569.0,0.0006223162611239031
Wisconsin,43.712786614597164,-89.02622895406995,5822434,2006582.0,16375.0,0.0,92.0,0.0
Wyoming,42.7794419243857,-107.10917249769017,578759,185385.0,2004.0,641.0,7.0,0.3457669174960218
