spec,beta,se,z,p,pct_per_10degC,n,n_clusters,scope
基准 (无阶段控制),-0.03641459065721697,0.009398351047729929,-3.87457230234154,0.00010681212786642684,-30.521018705303028,1712,52,美国州
+ log累计确诊,-0.03414375136350929,0.00870119174703724,-3.924031598905432,8.707930617357481e-05,-28.925212171640734,1712,52,美国州
+ 地区线性趋势,-0.03641204223679239,0.009390955771257408,-3.8773521166224145,0.0001055994742415188,-30.519248066191352,1712,52,美国州
+ 两者,-0.034165709779304186,0.008694184837025469,-3.929719740234239,8.504492711067498e-05,-28.94081735568912,1712,52,美国州
+ 两者 + 累计确诊平方,-0.03250174820934156,0.008070484481062361,-4.02723631841532,5.643630252494681e-05,-27.74852775382095,1712,52,美国州
基准 (无阶段控制),-0.10216785610899388,0.01684976410305154,-6.063459137121748,1.3322464134026597e-09,-64.00098327465804,1434,52,美国州 (排除2020前8月)
+ log累计确诊,-0.10085397354915895,0.016956153048082553,-5.94792776776474,2.715583727564834e-09,-63.52487758649745,1434,52,美国州 (排除2020前8月)
+ 地区线性趋势,-0.10211324765579512,0.01683843728886841,-6.064294797908613,1.3253386833573336e-09,-63.9813193998773,1434,52,美国州 (排除2020前8月)
+ 两者,-0.10065549613635152,0.016942453204691944,-5.9410225260930085,2.832496848385771e-09,-63.4524108159163,1434,52,美国州 (排除2020前8月)
+ 两者 + 累计确诊平方,-0.10061142357534815,0.016924811912781806,-5.944611029878877,2.77114087011065e-09,-63.43629980737163,1434,52,美国州 (排除2020前8月)
基准 (无阶段控制),0.001721266656685247,0.0031044193571515832,0.554456875396039,0.5792662112403824,1.7361658131811009,3427,115,全球国家
+ log累计确诊,0.001602720252539946,0.0029672365537444325,0.5401390227946039,0.5891011609060186,1.6156327048428176,3427,115,全球国家
+ 地区线性趋势,0.001756171398857004,0.003085683642575233,0.569135271881387,0.5692643432435742,1.771682757741977,3427,115,全球国家
+ 两者,0.0016259413332215822,0.00295192699821792,0.550806755791442,0.5817661524998692,1.639231692762344,3427,115,全球国家
+ 两者 + 累计确诊平方,0.001578803015848304,0.0029625005545275422,0.5329291882951531,0.5940825992751104,1.5913319596023268,3427,115,全球国家
基准 (无阶段控制),0.005020815521710983,0.0062619310982451075,0.8017998669959904,0.42266873560888474,5.14899467159613,2925,115,全球国家 (排除2020前8月)
+ log累计确诊,0.0063231847776909185,0.005831088461935968,1.084391845359103,0.27819109782479023,6.527379196294447,2925,115,全球国家 (排除2020前8月)
+ 地区线性趋势,0.005011811113269463,0.006262867202276846,0.8002422774424204,0.42357043931383487,5.13952705290166,2925,115,全球国家 (排除2020前8月)
+ 两者,0.006317739549475202,0.005832279572134433,1.0832367466848138,0.2787033530535611,6.521578695311692,2925,115,全球国家 (排除2020前8月)
+ 两者 + 累计确诊平方,0.006305315883996731,0.005903028056781487,1.0681494011794659,0.28545312480191787,6.5083456327449385,2925,115,全球国家 (排除2020前8月)
