region,lat,n_cold,n_warm,dlog,ratio
Alabama,33.06935820714117,12,11,0.2857468697141648,1.3307555580798582
Alaska,61.5692043399056,11,10,-0.005226087119069578,0.9947875451161302
Arizona,33.32551393530557,12,11,0.16536076742757713,1.1798186820930179
Arkansas,34.01505580790345,12,11,-0.11305797787484384,0.8930988786399311
California,35.366595098919404,12,11,0.11998363989514757,1.1274784057635512
Colorado,39.51493622068787,12,11,-0.4675731170831273,0.6265209176573414
Connecticut,41.37844392575823,12,11,0.22647080875820275,1.254165998636623
Delaware,39.133656095396745,12,11,-0.02252634307852462,0.9777254805549735
District of Columbia,38.90417772999957,12,10,0.10658294463081308,1.1124701960486993
Florida,27.573776588401255,12,11,-0.18851410480108657,0.8281888219176642
Georgia,32.186013835788614,12,11,0.0007307382358456294,1.0007310052900753
Hawaii,20.692486293324656,12,11,0.18255260743987478,1.2002772928082117
Idaho,44.062344729583536,12,11,-0.2918595125174418,0.7468734549747603
Illinois,41.19841161920047,12,11,0.05817048820645941,1.0598956800210988
Indiana,40.08967303929022,12,11,0.11175685140912908,1.1182409288803608
Iowa,41.95646209273208,12,11,0.19490934665871287,1.2152008194816817
Kansas,38.43880632992502,12,10,0.004878370145152272,1.0048902887660554
Kentucky,37.751990303875296,12,11,0.029722096565387046,1.030168206886799
Louisiana,30.71736722204497,12,11,0.0890551971069877,1.09314099288145
Maine,44.43607672355733,12,11,-0.07601745921500519,0.9268000252172188
Maryland,39.13330786841944,12,11,-0.15575170256725668,0.8557716498970335
Massachusetts,38.45458355915479,12,11,-0.0987876320093055,0.9059350792085556
Michigan,42.12277369271249,12,11,-0.03815355883338928,0.9625651191650639
Minnesota,45.198362871237634,12,11,-0.08094231933329915,0.9222468857256839
Mississippi,32.63286564690713,12,11,0.10743236634322152,1.113415553834504
Missouri,38.442382193754945,12,11,0.2716871627743382,1.3121764394580422
Montana,46.80225530131097,12,11,-0.27252398261121397,0.7614551672729886
Nebraska,41.06418080842873,12,11,-0.18891889200847567,0.8278536495185755
Nevada,36.67590885162251,12,11,0.03654587388077901,1.0372218843194574
New Hampshire,42.919692985787975,12,11,-0.3195544809900356,0.7264726223501183
New Jersey,40.418263788370275,12,11,0.038208199707746554,1.0389475189321755
New Mexico,34.22559203172522,12,11,-0.27451149006202485,0.7599432724034229
New York,41.33499323866982,12,11,-0.05785421663074944,0.9437875259336137
North Carolina,35.5443369351402,12,11,-0.1865302087272204,0.8298334933590634
North Dakota,47.365995809785694,11,6,-0.021157292838403813,0.9790649525519148
Ohio,40.39834667583883,12,11,0.04850041900469098,1.0496958116477022
Oklahoma,35.589254707587955,12,10,-0.15867360004686437,0.8532748223834744
Oregon,44.66039539962666,12,11,0.13483693264453153,1.1443501629809942
Pennsylvania,40.47103564303458,12,11,0.07191263383652571,1.074561459650566
Puerto Rico,17.84316234446089,12,11,-0.08451532836680117,0.9189575691501779
Rhode Island,39.0407267199561,12,11,0.12311948998490874,1.131019558383506
South Carolina,34.0646144999731,12,11,0.30681738873191283,1.3590927597575455
South Dakota,44.019343828825924,12,10,-0.04120356696959475,0.9596337603265622
Tennessee,34.318710119315035,12,11,0.2564202582179583,1.2922957117278986
Texas,30.47745530398597,12,11,0.1640974630876726,1.1783291530939533
Utah,40.2422809672315,12,11,0.021796114351844476,1.0220353848794332
Vermont,42.80521247210115,12,8,0.046457654033606355,1.0475537184547368
Virginia,37.799101309493665,12,11,0.06246648249111941,1.0644587803133116
Washington,47.214833468969495,12,11,-0.021001770802273348,0.9792172305678263
West Virginia,38.71626293256997,11,11,-0.16198670341032112,0.8504525125831548
Wisconsin,43.712786614597164,12,11,0.041960555532616475,1.042853343144803
Wyoming,42.7794419243857,12,11,0.18343495972541257,1.2013368275935286
