spec,scope,sample,beta,se,z,p,pct_per_degC,pct_per_10degC,n,n_clusters
A 地区FE + 日历月FE (最严格),美国州,全期 2020-03~2022-12,-0.03641459065721697,0.009398351047729929,-3.87457230234154,0.00010681212786642684,-3.5759554477788336,-30.521018705303028,1712,52
B 地区FE + 流行年FE,美国州,全期 2020-03~2022-12,-0.04913947202784642,0.01793387947716356,-2.740035812687327,0.006143249013671014,-4.795166367383552,-38.82274526934859,1712,52
C 仅地区FE,美国州,全期 2020-03~2022-12,-0.0776474970243293,0.042554391122195424,-1.8246647402700138,0.06805163723574544,-7.4709463269685745,-53.99752424761666,1712,52
A 地区FE + 日历月FE (最严格),美国州,疫苗前 2020-03~2021-10,-0.04207894304044627,0.01109054399295405,-3.794127958662759,0.0001481632557826368,-4.120591253562456,-34.34716682396166,1000,52
B 地区FE + 流行年FE,美国州,疫苗前 2020-03~2021-10,-0.06929719436502899,0.01857244737676903,-3.7311827008705367,0.00019058294195565975,-6.6950658138129615,-49.99123738677302,1000,52
C 仅地区FE,美国州,疫苗前 2020-03~2021-10,-0.07472942326767557,0.03435602487615292,-2.175147547979175,0.029619061315786364,-7.200545390654733,-52.635360257585454,1000,52
A 地区FE + 日历月FE (最严格),全球国家,全期 2020-03~2022-12,-0.001940802258529554,0.0029372742629572247,-0.6607494175826705,0.5087730263514392,-0.19389201196429173,-1.922089943375982,3427,115
B 地区FE + 流行年FE,全球国家,全期 2020-03~2022-12,-0.010381258135939092,0.004973743534905452,-2.0872121899900966,0.03686895806168722,-1.0327558858361563,-9.860578032957534,3427,115
C 仅地区FE,全球国家,全期 2020-03~2022-12,0.0019073894937129104,0.005185973393548655,0.3677977785396471,0.7130240255687157,0.1909209718161664,1.9256963763925494,3427,115
A 地区FE + 日历月FE (最严格),全球国家,疫苗前 2020-03~2021-10,0.004765784866867192,0.003173509495644572,1.5017395956772497,0.13316437367229994,0.4777159281725396,4.881174159286794,2016,115
B 地区FE + 流行年FE,全球国家,疫苗前 2020-03~2021-10,-0.011448803145577991,0.006480918716116458,-1.7665401538068393,0.07730527120734737,-1.1383514993443034,-10.81773878273793,2016,115
C 仅地区FE,全球国家,疫苗前 2020-03~2021-10,-0.007176228254721888,0.0067759967066237355,-1.0590660777191516,0.2895696875569259,-0.7150540612263945,-6.924787446046599,2016,115
