beta,se,p,pct_per_10degC,n,n_clusters,scope,coords,sample,n_regions
-0.03641459065721697,0.009398351047729929,0.00010681212786642684,-30.521018705303028,1712,52,美国州,原坐标,全期 2020-03~2022-12,52
-0.10216785610899388,0.01684976410305154,1.3322464134026597e-09,-64.00098327465804,1434,52,美国州,原坐标,剔除首轮 2020-09~2022-12,52
-0.11212093813998285,0.01707268146801246,5.1245487217718335e-11,-67.41145635789145,722,52,美国州,原坐标,疫苗前 2020-09~2021-10,52
-0.03641459065721697,0.009398351047729929,0.00010681212786642684,-30.521018705303028,1712,52,美国州,修正坐标,全期 2020-03~2022-12,52
-0.10216785610899388,0.01684976410305154,1.3322464134026597e-09,-64.00098327465804,1434,52,美国州,修正坐标,剔除首轮 2020-09~2022-12,52
-0.11212093813998285,0.01707268146801246,5.1245487217718335e-11,-67.41145635789145,722,52,美国州,修正坐标,疫苗前 2020-09~2021-10,52
0.001721266656685247,0.0031044193571515832,0.5792662112403824,1.7361658131811009,3427,115,全球国家,原坐标,全期 2020-03~2022-12,115
0.005020815521710983,0.0062619310982451075,0.42266873560888474,5.14899467159613,2925,115,全球国家,原坐标,剔除首轮 2020-09~2022-12,115
0.013538433061528136,0.007084352554867125,0.05600031217885398,14.497674941846327,1514,115,全球国家,原坐标,疫苗前 2020-09~2021-10,115
0.002878465782601886,0.004713479848946723,0.5414061236419849,2.9202939811662,3427,115,全球国家,修正坐标,全期 2020-03~2022-12,115
0.0018941811415025547,0.00783549027481103,0.8089786936075807,1.9122345604839053,2925,115,全球国家,修正坐标,剔除首轮 2020-09~2022-12,115
0.012615764282901119,0.008365139531897747,0.131519839071856,13.446099382784205,1514,115,全球国家,修正坐标,疫苗前 2020-09~2021-10,115
