beta,se,z,p,pct_per_10degC,n,n_clusters,scope,spec
-0.03641459065721697,0.00939835104772994,-3.8745723023415346,0.00010681212786642926,-30.521018705303028,1712,52,美国州,日历月FE
-0.03641459065721697,0.00939835104772994,-3.8745723023415346,0.00010681212786642926,-30.521018705303028,1712,52,美国州,半球x日历月FE (最干净)
-0.042881695419184365,0.010479575451184445,-4.0919305957511565,4.2779670006865e-05,-34.87208678140191,1104,52,美国州,半球x日历月FE + 排除2022
-0.0009734185309698696,0.002631555164260055,-0.3699023847913813,0.7114552244761015,-0.9686961480593559,3359,113,全球国家,日历月FE
0.00234679654269196,0.003039078676547265,0.7722065772111516,0.439992086630404,2.374550497113792,3359,113,全球国家,半球x日历月FE (最干净)
0.005656057335332646,0.0026760899358426824,2.1135527844476543,0.034553482164499834,5.819071101877027,2193,113,全球国家,半球x日历月FE + 排除2022
0.0016627810909718333,0.0033366374403276315,0.49834035633447826,0.6182441678955203,1.6766822374185697,3091,102,全球国家,质量筛查后(半球x月FE)
0.00527171899770617,0.0029789682119483354,1.7696459386716001,0.07678614100218109,5.413148401069523,2033,102,全球国家,质量筛查 + 排除2022
-0.04747193862244224,0.01212753041533989,-3.914394521937942,9.063134527204593e-05,-37.79404095341329,973,35,全球国家,热带 |lat|<23.5
0.007703590809101964,0.010513028637839494,0.7327660823993636,0.4637011114535653,8.008085933809106,976,32,全球国家,亚热带 23.5-40
-0.008384412480608701,0.011871460089837584,-0.7062663242060742,0.4800225315281035,-8.042541620921584,1410,46,全球国家,温带/寒带 |lat|>=40
