region,lat,lon,population,final_confirmed,final_deaths,rev_confirmed,rev_deaths,rev_pct
Afghanistan,33.93911,67.709953,,209451.0,7896.0,56.0,0.0,0.026736563683152623
Albania,41.1533,20.1683,,334457.0,3598.0,0.0,0.0,0.0
Algeria,28.0339,1.6596,,271496.0,6881.0,0.0,0.0,0.0
Argentina,-38.4161,-63.616699999999994,,10044957.0,130472.0,0.0,0.0,0.0
Armenia,40.0691,45.0382,,447308.0,8727.0,0.0,2.0,0.0
Australia,-33.78229959370005,144.59884785561775,,11399460.0,19574.0,29649.0,12.0,0.26009126748109124
Austria,47.5162,14.5501,,5961143.0,21970.0,12957.0,137.0,0.21735764433096136
Azerbaijan,40.1431,47.5769,,828825.0,10138.0,25.0,0.0,0.0030163182819051065
Bahrain,26.0275,50.55,,710693.0,1553.0,0.0,0.0,0.0
Bangladesh,23.685,90.3563,,2037871.0,29445.0,0.0,0.0,0.0
Belarus,53.7098,27.9534,,994037.0,7118.0,0.0,0.0,0.0
Belgium,50.8333,4.469936,,4739365.0,33814.0,0.0,117.0,0.0
Bolivia,-16.2902,-63.5887,,1194277.0,22365.0,0.0,0.0,0.0
Bosnia and Herzegovina,43.9159,17.6791,,401729.0,16280.0,0.0,22.0,0.0
Botswana,-22.3285,24.6849,,329758.0,2801.0,1960.0,82.0,0.5943752691367609
Brazil,-14.235,-51.9253,,37076053.0,699276.0,26015.0,126.0,0.07016658434488698
Brunei,4.5353,114.7277,,279661.0,225.0,18.0,0.0,0.006436364026446304
Bulgaria,42.7339,25.4858,,1297523.0,38228.0,0.0,0.0,0.0
Burma,21.9162,95.956,,633950.0,19490.0,0.0,1.0,0.0
Canada,52.18975974959941,-89.54149543601343,,4617095.0,51720.0,15961.0,360.0,0.3456935583954846
Chile,-35.6751,-71.543,,5192286.0,64273.0,0.0,213.0,0.0
China,23.65995342661174,114.32332173286399,,4903524.0,101056.0,20.0,310.0,0.0004078699319101936
Colombia,4.5709,-74.2973,,6359093.0,142339.0,0.0,0.0,0.0
Costa Rica,9.7489,-83.7534,,1209725.0,9245.0,0.0,4.0,0.0
Croatia,45.1,15.2,,1269326.0,17987.0,0.0,0.0,0.0
Cuba,21.521757,-77.781167,,1112643.0,8530.0,0.0,1.0,0.0
Cyprus,35.1264,33.4299,,650685.0,1330.0,0.0,0.0,0.0
Czechia,49.8175,15.473,,4618256.0,42491.0,13880.0,30.0,0.3005463534286536
Denmark,56.37399668911018,9.156215464834307,,3451036.0,8345.0,2001.0,7.0,0.05798258841692756
Dominican Republic,18.7357,-70.1627,,660790.0,4384.0,0.0,0.0,0.0
Ecuador,-1.8312,-78.1834,,1057121.0,36014.0,11473.0,0.0,1.085306223223264
Egypt,26.820553,30.802498,,515759.0,24812.0,0.0,0.0,0.0
El Salvador,13.794200000000002,-88.89649999999999,,201785.0,4230.0,92.0,0.0,0.04559308174542211
Estonia,58.59530000000001,25.0136,,615433.0,2946.0,770.0,9.0,0.12511516282032326
Ethiopia,9.145,40.4897,,500116.0,7572.0,0.0,0.0,0.0
Finland,61.924110000000006,25.748151,,1463644.0,8967.0,0.0,0.0,0.0
France,44.61517569245893,2.6648359456750326,,39866718.0,166176.0,453138.0,408.0,1.1366323157075533
Georgia,42.3154,43.3569,,1827537.0,16971.0,0.0,0.0,0.0
Germany,51.165691,10.451526,,38249060.0,168935.0,0.0,9.0,0.0
Greece,39.0742,21.8243,,5548487.0,34779.0,0.0,0.0,0.0
Guatemala,15.783500000000002,-90.2308,,1238247.0,20182.0,0.0,3.0,0.0
Honduras,15.2,-86.2419,,472250.0,11111.0,20.0,94.0,0.004235044997353097
Hungary,47.1625,19.5033,,2196804.0,48762.0,0.0,0.0,0.0
Iceland,64.9631,-19.0208,,209137.0,263.0,274.0,46.0,0.13101459808642182
India,20.593684,78.96288,,44690738.0,530779.0,3163.0,1.0,0.0070775291291900345
Indonesia,-0.7893,113.9213,,6738225.0,160941.0,0.0,0.0,0.0
Iran,32.427908,53.688046,,7572311.0,144933.0,0.0,0.0,0.0
Iraq,33.223191,43.679291,,2465545.0,25375.0,0.0,0.0,0.0
Ireland,53.1424,-7.692100000000001,,1704502.0,8708.0,8438.0,19.0,0.4950419536028705
Israel,31.046050999999995,34.851612,,4803824.0,12329.0,1230.0,13.0,0.025604601667338352
Italy,41.87194,12.567379999999998,,25603510.0,188322.0,148.0,31.0,0.000578045744509249
