region,lat,lon,population,final_confirmed,final_deaths,rev_confirmed,rev_deaths,rev_pct
Japan,36.204824,138.252924,,33320438.0,72997.0,0.0,10.0,0.0
Jordan,31.24,36.51,,1746997.0,14122.0,110.0,0.0,0.006296519112511355
Kazakhstan,48.01959999999999,66.9237,,1498668.0,19071.0,60399.0,281.0,4.030178798773311
Kenya,-0.0236,37.9062,,342937.0,5688.0,0.0,0.0,0.0
"Korea, South",35.907757,127.766922,,30615522.0,34093.0,0.0,0.0,0.0
Kosovo,42.602636,20.902977,,273312.0,3211.0,0.0,0.0,0.0
Kuwait,29.31166,47.481766,,663860.0,2570.0,0.0,0.0,0.0
Kyrgyzstan,41.20437999999999,74.766098,,206708.0,2991.0,0.0,443.0,0.0
Laos,19.85627,102.495496,,218023.0,758.0,2.0,1.0,0.000917334409672374
Latvia,56.8796,24.603199999999998,,976255.0,6269.0,0.0,7.0,0.0
Lebanon,33.8547,35.8623,,1232828.0,10841.0,0.0,0.0,0.0
Libya,26.3351,17.228331,,507187.0,6437.0,0.0,3.0,0.0
Lithuania,55.16940000000001,23.8813,,1307448.0,9596.0,359.0,26.0,0.027458070990203816
Luxembourg,49.8153,6.1296,,317367.0,1220.0,1348.0,3.0,0.42474485374975973
Malaysia,4.210484,101.975766,,5044718.0,36967.0,108.0,22.0,0.0021408530665143225
Mauritius,-20.348404,57.55215199999999,,296042.0,1044.0,142.0,0.0,0.04796616696279582
Mexico,23.6345,-102.5528,,7483444.0,333188.0,1148.0,41.0,0.015340530376120941
Moldova,47.4116,28.3699,,611140.0,12003.0,0.0,1.0,0.0
Mongolia,46.8625,103.8467,,1007900.0,2136.0,1417.0,0.0,0.14058934418097033
Montenegro,42.708678,19.37439,,288808.0,2808.0,0.0,1.0,0.0
Morocco,31.7917,-7.0926,,1272490.0,16296.0,0.0,0.0,0.0
Mozambique,-18.665695,35.529562,,233214.0,2242.0,16.0,35.0,0.006860651590384797
Nepal,28.1667,84.25,,1001154.0,12020.0,1.0,0.0,9.988473301809712e-05
Netherlands,51.62419146215896,4.332742485092362,,8712835.0,23705.0,794.0,64.0,0.009112992498997169
New Zealand,-40.831033300225286,173.71161219638145,,2236114.0,2550.0,5.0,17.0,0.00022360219559467898
Nigeria,9.082,8.6753,,266598.0,3155.0,30.0,5.0,0.011252897621137443
North Macedonia,41.6086,21.7453,,346852.0,9662.0,24.0,1.0,0.006919377717297291
Norway,60.472,8.4689,,1479506.0,5213.0,0.0,2.0,0.0
Oman,21.512583,55.923255000000005,,399449.0,4628.0,0.0,0.0,0.0
Pakistan,30.3753,69.3451,,1577411.0,30644.0,0.0,0.0,0.0
Panama,8.538,-80.7821,,1031731.0,8609.0,0.0,0.0,0.0
Paraguay,-23.4425,-58.4438,,808401.0,19878.0,0.0,0.0,0.0
Peru,-9.19,-75.0152,,4487553.0,219539.0,73564.0,827.0,1.6392898312287343
Philippines,12.879721,121.774017,,4077452.0,66188.0,675.0,8.0,0.01655445606717136
Poland,51.91940000000001,19.1451,,6444960.0,119010.0,0.0,0.0,0.0
Portugal,39.3999,-8.2245,,5570473.0,26266.0,161.0,0.0,0.0028902393028383765
Qatar,25.3548,51.1839,,495090.0,688.0,0.0,0.0,0.0
Romania,45.9432,24.966799999999996,,3346046.0,67736.0,0.0,0.0,0.0
Russia,61.52401,105.318756,,22075858.0,388478.0,0.0,0.0,0.0
Saudi Arabia,23.885942,45.07916199999999,,830127.0,9618.0,0.0,1.0,0.0
Serbia,44.0165,21.0059,,2500142.0,17881.0,9420.0,3.0,0.3767785989755782
Singapore,1.2833,103.8333,,2235294.0,1722.0,0.0,0.0,0.0
Slovakia,48.669,19.699,,2667551.0,21035.0,4312.0,1.0,0.16164639401458492
Slovenia,46.1512,14.995499999999998,,1331707.0,7078.0,0.0,10.0,0.0
South Africa,-30.5595,22.9375,,4067067.0,102595.0,0.0,228.0,0.0
Spain,40.463667,-3.74922,,13770429.0,119479.0,86471.0,2182.0,0.6279470305536596
Sri Lanka,7.873054,80.771797,,672039.0,16830.0,0.0,0.0,0.0
Sweden,60.128161,18.643501,,2699339.0,23777.0,0.0,256.0,0.0
Switzerland,46.8182,8.2275,,4413911.0,14210.0,0.0,194.0,0.0
Taiwan*,23.7,121.0,,9970937.0,17672.0,3.0,0.0,3.0087443135986115e-05
Thailand,15.870032000000002,100.992541,,4728182.0,33918.0,9344.0,75.0,0.19762352633633815
Tunisia,33.886917,9.537499,,1151126.0,29341.0,573.0,4.0,0.04977734843970165
Turkey,38.9637,35.2433,,17042722.0,101492.0,0.0,0.0,0.0
US,40.0,-100.0,,103802702.0,1123836.0,3862.0,553.0,0.003720519722116675
Ukraine,48.3794,31.1656,,5711929.0,119283.0,0.0,0.0,0.0
United Arab Emirates,23.424076,53.847818,,1053213.0,2349.0,0.0,0.0,0.0
United Kingdom,55.22978733969726,-3.6352115238893754,,24658705.0,220721.0,10938.0,0.0,0.0443575605450489
Uruguay,-32.5228,-55.7658,,1034303.0,7617.0,21.0,0.0,0.0020303528076395408
Uzbekistan,41.377491,64.585262,,251247.0,1637.0,0.0,0.0,0.0
Venezuela,6.4238,-66.5897,,552162.0,5854.0,0.0,6.0,0.0
Vietnam,14.058324,108.277199,,11526994.0,43186.0,0.0,4.0,0.0
West Bank and Gaza,31.9522,35.2332,,703228.0,5708.0,0.0,0.0,0.0
Zambia,-13.133897,27.849332,,343135.0,4057.0,0.0,0.0,0.0
Zimbabwe,-19.015438,29.154857,,264276.0,5671.0,6.0,0.0,0.002270353721109749
