n,pearson_r,pearson_p,spearman_r,spearman_p,slope_pct_per_C,intercept_pct,median_penalty_pct,scope,winter,outcome
51,0.07336450257978452,0.6089107409993552,0.06361990950226244,0.6573872972730412,0.002347560785867442,-0.10011594856495812,-9.867345051829213,us,W1 2020冬-2021春,CFR惩罚
51,-0.21060696324571498,0.13795675816280353,-0.14217194570135744,0.3196356060959649,-0.00768459339452895,-0.112732281187132,-12.855896870809168,us,W2 2021冬-2022春,CFR惩罚
99,-0.1974738594300384,0.05008645406254348,-0.18011131725417437,0.07443267067091087,-0.010562499212421812,0.16418775043081088,7.521074517688198,global,W1 2020冬-2021春,CFR惩罚
109,-0.03301328890671035,0.7332630821400696,-0.06410897970530999,0.5077900612726809,-0.0018893047609719804,-0.36294083981880443,-29.252139985905323,global,W2 2021冬-2022春,CFR惩罚
