region,lat,winter,cfr_w,cfr_s1,cfr_s2,temp_w,temp_s,cases_w,cases_s,penalty_cfr,penalty_cases,penalty_deaths,y_pct
Afghanistan,33.93911,W1 2020冬-2021春,0.0592592592592592,0.0349081994297439,0.046809670016452,-8.870751152073732,9.5807311827957,15120.0,66478.0,0.3825162681448484,-1.3757032239435762,-0.9931869557987278,-62.96056224769495
Albania,41.1533,W1 2020冬-2021春,0.0160430371492683,0.0334079283887468,0.0106076210092687,9.252281105990786,23.46497311827957,104282.0,25676.0,-0.1599080443517637,1.5540293544014467,1.394121310049682,303.14306382632213
Algeria,28.0339,W1 2020冬-2021春,0.0154767932489451,0.0274598097803215,0.0304734710957403,17.34695238095238,35.02110752688172,59250.0,64387.5,-0.6254482968281878,-0.0476232076959863,-0.6730715045241755,-48.986072612939694
Argentina,-38.4161,W1 2020冬-2021春,0.0196133842458352,0.0363032148229309,0.0186024454944618,22.202184331797238,12.327193548387095,1181897.0,1513056.0,-0.2813874722465046,-0.0987349014736445,-0.3801223737201518,-31.622227233204235
Armenia,40.0691,W1 2020冬-2021春,0.0195767607414467,0.0217629884248234,0.0335502815944601,-7.256855606758833,9.79747311827957,102826.0,46963.0,-0.3222848161495899,0.7840793585220656,0.4617945423724734,58.69192250700617
Austria,47.5162,W1 2020冬-2021春,0.0210240113804536,0.0162336536126816,0.0074920916810033,-0.1859984639016897,12.751032258064516,435835.0,77481.0,0.6451979372830068,1.977904365976512,2.623102303259518,1277.8402131795845
Azerbaijan,40.1431,W1 2020冬-2021春,0.0151518087229466,0.0155627846454131,0.0120757556449606,6.272357910906298,27.009946236559145,206444.0,101609.0,0.1000787917827779,0.9533299740478398,1.053408765830616,186.74088029331912
Bahrain,26.0275,W1 2020冬-2021春,0.0042834394904458,0.0043642368483132,0.0060943917328251,20.899675883256528,34.783903225806455,62800.0,82973.5,-0.1856498438398954,-0.2616138806956112,-0.4472637245355066,-36.062473290695884
Bangladesh,23.685,W1 2020冬-2021春,0.0212807755966033,0.0149376637100491,0.0194420284671157,21.52657142857143,28.177849462365597,203611.0,576295.5,0.2221426470654606,-0.9612786152667584,-0.7391359682012961,-52.247366473812384
Belarus,53.7098,W1 2020冬-2021春,0.0061076905854696,0.0117020617918395,0.0095568392176104,-1.9594086021505377,16.367129032258063,223325.0,121976.0,-0.5489623183969252,0.729825919131704,0.1808636007347788,19.825172749092033
Belgium,50.8333,W1 2020冬-2021春,0.0184125289040297,0.0193470893569559,0.0040278731965845,5.81242089093702,16.614118279569894,453224.0,162329.0,0.7351411109909285,1.2225253981542572,1.9576665091451844,608.2780163904522
Bolivia,-16.2902,W1 2020冬-2021春,0.0292911047499502,0.0621943583015267,0.0259820144067753,26.010433179723503,23.186817204301075,130654.0,165428.5,-0.316550541296082,-0.2177772241133944,-0.5343277654094756,-41.393687033832116
Bosnia and Herzegovina,43.9159,W1 2020冬-2021春,0.0488221121670459,0.0346530802738021,0.0598942556589745,-2.57742242703533,11.349419354838709,119536.0,31013.0,0.0691997183342501,1.3640370058116282,1.43323672414588,319.22464009582666
Botswana,-22.3285,W1 2020冬-2021春,0.0196651207613081,0.0067911714770797,0.0121857188213416,23.97226574500768,18.44184229390681,33206.0,67615.5,0.7709024797402031,0.520193051225947,1.2910955309661487,263.67685667279466
Brazil,-14.235,W1 2020冬-2021春,0.0294622101411517,0.0286264068709465,0.0234145270167277,22.186622119815667,18.629870967741937,7225629.0,5743718.0,0.1292653042756937,0.2453442788338229,0.3746095831095175,45.44234722687843
Bulgaria,42.7339,W1 2020冬-2021春,0.0441631669939162,0.0480157292906296,0.0548669489272054,0.7271781874039938,15.757043010752689,289789.0,58554.5,-0.1503287816677936,1.8970312754417016,1.7467024937739062,473.5658089964351
Burma,21.9162,W1 2020冬-2021春,0.0165388730385164,0.0741935483870967,0.0474663744828938,24.7347158218126,29.5417311827957,89728.0,167139.5,-1.277635824327696,0.3274157278912586,-0.95022009643644,-61.334408749993386
Canada,52.18975974959941,W1 2020冬-2021春,0.0163186852599167,0.0280978869629601,0.0087955713482694,-2.1267188940092163,19.013376344086023,752818.0,251921.0,0.0373394285394388,1.3013496830224422,1.338689111561882,281.4040445333708
Chile,-35.6751,W1 2020冬-2021春,0.0212721675232133,0.0294864683385396,0.0205035316510934,19.46878648233487,11.39616129032258,485282.0,450654.0,-0.1448647731440999,0.0741011728199048,-0.0707636003241987,-6.831788455375265
China,23.65995342661174,W1 2020冬-2021春,0.0160543377585674,0.0124023886081763,0.0053342816500711,17.435551459293396,27.361612903225804,12956.0,8572.0,0.6799574229393803,0.4131837983146678,1.093141221254048,198.3631614856083
Colombia,4.5709,W1 2020冬-2021春,0.0258911434003931,0.0350011905166842,0.0206144969876804,12.977350230414748,12.97179569892473,1332193.0,1460362.5,-0.0367873640407379,0.0137357972317531,-0.0230515668089843,-2.278790923523666
Costa Rica,9.7489,W1 2020冬-2021春,0.0141114117966533,0.0163846648104519,0.0111311052156162,17.25472350230415,18.785900537634408,106793.0,177949.0,0.0439391744217934,-0.3053968490985337,-0.2614576746767394,-23.00715377942365
Croatia,45.1,W1 2020冬-2021春,0.0242357725040033,0.0199344810761831,0.0153153277232222,1.1385499231950846,15.305198924731185,222316.0,43477.0,0.3271772000420578,1.929798694673007,2.2569758947150653,855.4152671725483
