region,lat,n_cold,n_warm,dlog,ratio
Afghanistan,33.93911,12,11,0.1786484312074934,1.1956003345048327
Albania,41.1533,10,9,0.18722572093812984,1.2058994510873722
Algeria,28.0339,10,8,0.0728564207590543,1.0755760954283122
Argentina,-38.4161,11,12,-0.16293462809373008,0.8496467296255247
Armenia,40.0691,10,9,-0.1376251243583564,0.871425306642961
Australia,-33.78229959370005,10,8,0.6661512778295552,1.9467304593118826
Austria,47.5162,12,11,0.15751048288781044,1.170593029112771
Azerbaijan,40.1431,12,9,0.15036151240428985,1.1622543361486741
Bahrain,26.0275,11,11,-0.05377803173216722,0.9476424297070429
Bangladesh,23.685,12,11,-0.3380005970674505,0.7131948620727171
Belarus,53.7098,10,6,-0.24331325909953092,0.7840258720601241
Belgium,50.8333,12,11,0.35474103423520686,1.4258113701356503
Bolivia,-16.2902,11,12,-0.6709844026835246,0.5112050983433024
Bosnia and Herzegovina,43.9159,11,11,-0.16319925720280026,0.8494219181155862
Botswana,-22.3285,9,11,0.6130255942588148,1.8460082298152178
Brazil,-14.235,11,12,-0.06523678232471003,0.9368456086316925
Brunei,4.5353,4,3,-0.298510157063845,0.7419227460551349
Bulgaria,42.7339,12,11,-0.17132082035067198,0.8425512225282259
Burma,21.9162,11,8,-1.8639730607069764,0.15505536059425
Canada,52.18975974959941,12,11,-0.3012954863952436,0.7398591221391696
Chile,-35.6751,11,12,-0.15095144871041763,0.8598894463872646
China,23.65995342661174,12,11,1.3446524128407469,3.836852668075524
Colombia,4.5709,11,11,-0.010328065367614103,0.9897250859586672
Costa Rica,9.7489,12,10,0.23866077131142296,1.2695477964941788
Croatia,45.1,12,11,0.047350772406609454,1.0484897258478783
Cuba,21.521757,10,7,-0.48836351035907516,0.6136297717167962
Cyprus,35.1264,12,10,-0.13166817574347256,0.8766318345296535
Czechia,49.8175,12,11,-0.11555943139346425,0.890867625159379
Denmark,56.37399668911018,12,11,0.0887045669906702,1.0927577719162964
Dominican Republic,18.7357,10,8,0.07193346831350556,1.0745838478097824
Ecuador,-1.8312,11,11,0.12886665714257942,1.1375384314275125
Egypt,26.820553,10,6,-0.005090963140455651,0.9949219738491699
El Salvador,13.794200000000002,10,10,-0.11064343814985267,0.8952579068415042
Estonia,58.59530000000001,12,11,0.10549371112877123,1.111259115935395
Ethiopia,9.145,10,10,0.2605790043800788,1.2976812323039297
Finland,61.924110000000006,12,11,-0.06173545515304327,0.9401315608568034
France,44.61517569245893,12,11,0.08849677733169675,1.0925307317406465
Georgia,42.3154,12,11,-0.07246046998526595,0.9301025128996278
Germany,51.165691,12,11,0.27211916255662566,1.3127434218535288
Greece,39.0742,11,11,0.4114467898196668,1.5089994115413528
Guatemala,15.783500000000002,12,11,-0.32445552894916485,0.7229208559851629
Honduras,15.2,12,11,0.051054772414646954,1.0523805331275795
Hungary,47.1625,12,11,0.09453299875770271,1.0991454329683796
Iceland,64.9631,6,4,-1.2797954618199279,0.2780941755129833
India,20.593684,12,11,0.3836151824360632,1.467580582220508
Indonesia,-0.7893,11,12,0.016364385525090674,1.0164990154580438
Iran,32.427908,12,11,-0.23098331696765773,0.7937527081268848
Iraq,33.223191,12,11,0.2736875740799841,1.3148039592264615
Ireland,53.1424,12,11,0.08270586878377703,1.0862222696800943
Israel,31.046050999999995,12,11,-0.3947618521826945,0.6738404937849675
Italy,41.87194,12,11,0.16152944665885627,1.1753070665150616
Japan,36.204824,12,11,0.7089583076734821,2.0318735687425717
Jordan,31.24,10,11,-0.09425590793259886,0.9100498434651538
Kazakhstan,48.01959999999999,12,10,0.4531816264065599,1.5733099151917544
Kenya,-0.0236,10,10,0.24907286151822167,1.2828354990068211
"Korea, South",35.907757,12,11,0.7322281983369532,2.0797094539117964
Kosovo,42.602636,8,10,0.07769952493488236,1.080797857068654
Kuwait,29.31166,11,9,-0.2618806147481383,0.7696028974590279
Kyrgyzstan,41.20437999999999,9,6,0.44033545443270095,1.5532281684030624
Laos,19.85627,5,6,1.787907661954223,5.976933608522791
Latvia,56.8796,12,10,-0.028594671872767943,0.97181028669113
Lebanon,33.8547,12,11,0.10635385290033966,1.1122153675170556
Libya,26.3351,10,8,0.5964793840853357,1.8157150990442292
Lithuania,55.16940000000001,12,11,-0.10992772055135556,0.8958988880340223
Luxembourg,49.8153,12,11,0.5768467041200978,1.7804153933346825
Malaysia,4.210484,12,11,-0.8337811883552799,0.4344036150949403
Mauritius,-20.348404,8,7,0.020684965982594283,1.0209003826229393
Mexico,23.6345,12,11,0.3675852033122946,1.444242847561753
Moldova,47.4116,12,11,-0.21920832133436652,0.8031543865313537
Mongolia,46.8625,9,9,-0.7639599540166171,0.46581815142227273
Montenegro,42.708678,12,11,-0.10024372520420693,0.9046169132238564
Morocco,31.7917,12,11,-0.06966385387844219,0.932707293155731
Mozambique,-18.665695,8,8,-0.013753912355873199,0.9863402405454622
Nepal,28.1667,10,10,0.018011967244081675,1.0181751610675556
Netherlands,51.62419146215896,12,11,-0.07653553932222712,0.9263199929191103
New Zealand,-40.831033300225286,7,7,0.042149674127997416,1.0430505847546871
Nigeria,9.082,9,9,-0.483689065282514,0.6165048648794003
North Macedonia,41.6086,12,10,-0.2341671249227022,0.7912295706643176
Norway,60.472,12,11,-0.44880416527609646,0.6383911055989303
Oman,21.512583,9,6,-0.7855378980450989,0.45587442186342697
Pakistan,30.3753,12,11,0.014765739698911762,1.0148752917750195
Panama,8.538,12,11,0.13121157046513796,1.1402089903411783
Paraguay,-23.4425,11,11,0.5457407809823035,1.725886412779886
Peru,-9.19,11,12,-0.30612532758280375,0.7362943356840465
Philippines,12.879721,12,11,0.5958866182289893,1.8146391240607849
Poland,51.91940000000001,12,11,-0.347518052557483,0.7064392607790867
Portugal,39.3999,12,11,0.480874091747672,1.6174876170412134
Qatar,25.3548,11,11,0.452131729746474,1.5716589691795175
Romania,45.9432,12,11,-0.6959998946465809,0.4985756755178659
Russia,61.52401,12,11,-0.29529827757354454,0.7443095435075856
Saudi Arabia,23.885942,12,11,-0.07468382799526635,0.928036859222208
Serbia,44.0165,12,11,-0.2954339376577068,0.7442085772609701
Singapore,1.2833,7,11,-0.3862016697295041,0.6796334503647178
Slovakia,48.669,12,10,0.16563360619286574,1.180140626282935
Slovenia,46.1512,12,11,0.16569446852804254,1.1802124545830843
South Africa,-30.5595,11,12,-0.13098638531722895,0.8772297175140638
Spain,40.463667,12,11,0.025060966736556764,1.0253776325468271
Sri Lanka,7.873054,11,8,-1.1917024096701767,0.3037037954416564
Sweden,60.128161,12,11,-0.18277380828325554,0.8329565423008242
Switzerland,46.8182,12,11,0.25834402520072697,1.2947841803995683
Taiwan*,23.7,5,8,-1.4757600635137542,0.22860490674767323
Thailand,15.870032000000002,11,10,-1.0229792881865682,0.35952222268841655
Tunisia,33.886917,11,11,0.11151624081934708,1.1179719006377644
Turkey,38.9637,10,11,0.0013869881276529772,1.0013879504405403
US,40.0,12,11,0.04453012727626188,1.0455364754022045
Ukraine,48.3794,12,11,-0.45814574874173075,0.6324552899268016
United Arab Emirates,23.424076,9,11,0.38175812171012646,1.4648577249972454
United Kingdom,55.22978733969726,12,11,0.025025385729465784,1.025341149227073
Uruguay,-32.5228,10,12,0.0021896038840092946,1.0021920028171787
Uzbekistan,41.377491,8,6,-0.4144113636968493,0.6607290953906314
Venezuela,6.4238,12,11,-0.31793887233193546,0.7276472664357335
Vietnam,14.058324,7,10,0.2839663084190912,1.328388174501185
West Bank and Gaza,31.9522,10,10,0.450578213167798,1.5692192664648472
Zambia,-13.133897,10,10,-0.2610241648704333,0.7702623061013569
Zimbabwe,-19.015438,10,11,0.08085629883024403,1.0842150823960819
