dropped,beta,se,p,shift
Afghanistan,-0.004394697522755972,0.00390700036791342,0.2606625655287418,0.002453895264226418
Albania,-0.001945886643201394,0.0029393510209475408,0.5079633141940149,5.084384671839989e-06
Algeria,-0.0019523829223268567,0.0029446254513141672,0.5073096203631252,1.1580663797302682e-05
Argentina,-0.0007656890003525064,0.002752202149337775,0.7808514823092291,0.0011751132581770476
Armenia,-0.0019405440328725636,0.0029390587783773886,0.5090867578668568,2.582256569904316e-07
Australia,-0.00157790236578256,0.002900916136542534,0.5864879709194928,0.00036289989274699403
Austria,-0.0019581602165828467,0.0029386237782259603,0.5051856168795943,1.7357958053292695e-05
Azerbaijan,-0.0019364585135117492,0.0029412511461328985,0.5102945112874162,4.343745017804795e-06
Bahrain,-0.0019450826920708257,0.0029391440673715878,0.5081087512263738,4.280433541271628e-06
Bangladesh,-0.001973131773438947,0.002950925056512442,0.5037196918325313,3.2329514909392896e-05
Belarus,-0.001962190572503993,0.002942560503007939,0.5048800868233969,2.1388313974438902e-05
Belgium,-0.0019686720128990727,0.0029453690781525124,0.5038810425724903,2.7869754369518702e-05
Bolivia,-0.001831146738809053,0.0029437595712758597,0.5339132131347568,0.00010965551972050096
Bosnia and Herzegovina,-0.001928886965837312,0.002934525586745323,0.5109829326630304,1.1915292692242117e-05
Botswana,-0.0019210381328502216,0.0029381694304093054,0.5132268595039321,1.9764125679332415e-05
Brazil,-0.001767487932197455,0.003238292353299586,0.5851974863477762,0.00017331432633209908
Brunei,-0.0019398948136369663,0.002937392544538204,0.5089882660427505,9.074448925876916e-07
Bulgaria,-0.002009339678535055,0.0029537120208855757,0.4963296580501221,6.85374200055011e-05
Burma,-0.0018912730409630062,0.002966052827202367,0.5237082451340895,4.952921756654787e-05
Canada,-0.0020248871806554545,0.002981787764467426,0.49708404084026914,8.408492212590049e-05
Chile,-0.0026447822662141467,0.00303011214808442,0.38275403959442134,0.0007039800076845926
China,-0.0009084026725040945,0.002601262823175298,0.7269271337010714,0.0010323995860254595
Colombia,-0.0019647908074325493,0.0029471100311446773,0.5049740652524133,2.3988548902995283e-05
Costa Rica,-0.001941887260197179,0.0029375424312063766,0.5085748270617174,1.0850016676248672e-06
Croatia,-0.0019438605304367565,0.002938251155110349,0.5082464653214862,3.0582719072024932e-06
Cuba,-0.0019230898664216217,0.002942075991868446,0.5133369083000172,1.77123921079323e-05
Cyprus,-0.0019415093767073443,0.0029371422837897584,0.5085995783416224,7.07118177790218e-07
Czechia,-0.0019560593868689483,0.0029439416656351076,0.5064116106296211,1.5257128339394308e-05
Denmark,-0.0019226088853326172,0.002935704237224355,0.5125285914365059,1.8193373196936794e-05
Dominican Republic,-0.0019319488770747487,0.0029387723510675835,0.5109237661751413,8.853381454805315e-06
Ecuador,-0.0016405178692572478,0.002935716010510015,0.5762889777684599,0.0003002843892723063
Egypt,-0.0018763811298169435,0.0029068980601237235,0.5186080249355871,6.44211287126105e-05
El Salvador,-0.0019372896602241685,0.002938739163856924,0.509751440709203,3.51259830538549e-06
Estonia,-0.0019392112915938991,0.0029371524734992703,0.509102941497764,1.590966935654907e-06
Ethiopia,-0.0019057040427375531,0.0029354039516477476,0.5162003496730252,3.509821579200092e-05
Finland,-0.001954898952226727,0.00294038908110618,0.5061505129513562,1.4096693697173172e-05
France,-0.00187770987083952,0.002923146910538868,0.5206400820828777,6.309238769003399e-05
Georgia,-0.0019589065875898455,0.0029493068748207354,0.50656731245541,1.810432906029151e-05
Germany,-0.0018598811022778482,0.0028582497189647517,0.5152360948879564,8.092115625170588e-05
Greece,-0.0018806147199301416,0.0029151605303146273,0.5188524562428184,6.018753859941242e-05
Guatemala,-0.0019621016619197243,0.0029395949459489067,0.5044697453335014,2.129940339017024e-05
Honduras,-0.0019280070276171378,0.0029385975159139746,0.5117612738011389,1.2795230912416265e-05
Hungary,-0.0019589660657949866,0.002935111767055588,0.5045008984149307,1.816380726543253e-05
Iceland,-0.0019403471233711347,0.002937551594760625,0.5089124261321202,4.5513515841929565e-07
India,-0.0022464671811792607,0.0030356526186050893,0.4592831555874397,0.0003056649226497066
Indonesia,-0.0012540171915736082,0.002921651768576724,0.6677666613415347,0.0006867850669559459
Iran,-0.002396133182211323,0.003129400617947487,0.4438641214338722,0.00045533092368176876
Iraq,-0.0020437488169291465,0.0029776433561054753,0.49248325860493436,0.00010294655839959243
Ireland,-0.0019194309167290136,0.0029334476823537976,0.512901836151791,2.137134180054041e-05
Israel,-0.001970008939328663,0.002944671599972305,0.5034903570955591,2.920668079910908e-05
Italy,-0.0018451229229267505,0.0029038866498488467,0.5251690622589547,9.567933560280357e-05
Japan,-0.0018075009556511312,0.0029274438901639413,0.5369490502507352,0.0001333013028784228
Jordan,-0.001993196491384401,0.0029524000372123317,0.4996055144707854,5.2394232854847044e-05
Kazakhstan,-0.001959611060479169,0.002965587197500007,0.5087511717256994,1.8808801949614937e-05
Kenya,-0.0019155914781550014,0.0029383772496962843,0.5144517761816602,2.521078037455264e-05
"Korea, South",-0.0018769459564334688,0.0029356596503924814,0.5225881877318526,6.385630209608528e-05
Kosovo,-0.001960164662089488,0.002943747243966602,0.5054916600417387,1.936240355993415e-05
Kuwait,-0.001947884153160207,0.0029400454671284306,0.5076281655759631,7.081894630652907e-06
Kyrgyzstan,-0.0019360523307999854,0.0029402158559181774,0.5102343337175375,4.749927729568587e-06
Laos,-0.0019456653761130067,0.002937574485902493,0.5077550285222748,4.863117583452656e-06
Latvia,-0.0019451174930902935,0.0029400297467798066,0.5082289566575049,4.315234560739499e-06
Lebanon,-0.0019331032380171258,0.0029325155574383296,0.5097697591735919,7.699020512428245e-06
Libya,-0.0019301419363871681,0.002933634207317277,0.5105796114856922,1.066032214238591e-05
Lithuania,-0.0019403069549298892,0.002939658405531182,0.5092249252552346,4.953035996648186e-07
Luxembourg,-0.0019402792625740147,0.002936791203534441,0.5088175415415788,5.229959555393734e-07
Malaysia,-0.001681009091771377,0.0029315703379595953,0.5663631160645048,0.00025979316675817706
Mauritius,-0.0019350623394485565,0.002937418073676948,0.5100479709834398,5.739919080997554e-06
Mexico,-0.002634030537605194,0.0029314046731895196,0.3688893350502692,0.0006932282790756401
Moldova,-0.0019309538082381964,0.002935841912311906,0.5107198491440955,9.848450291357605e-06
Mongolia,-0.0019594213072715847,0.0029431730151165585,0.5055700675393136,1.8619048742030695e-05
Montenegro,-0.001942993918115176,0.002938846689124755,0.5085214838935292,2.1916595856219263e-06
Morocco,-0.002005414077554816,0.0029561826019226843,0.49753101738495187,6.46118190252619e-05
Mozambique,-0.0019300394653226948,0.002939366066331346,0.5114268350803204,1.0762793206859234e-05
Nepal,-0.0019512353238214815,0.0029357613761320104,0.5062784070140129,1.0433065291927477e-05
Netherlands,-0.0019483861541937104,0.0029433455924160494,0.5079948744793618,7.5838956641563655e-06
New Zealand,-0.001905094119746501,0.0029333470835608434,0.5160405372199773,3.570813878305294e-05
Nigeria,-0.001911014869122908,0.002936370216383336,0.5151700744952656,2.978738940664612e-05
North Macedonia,-0.001956867689818961,0.0029441853787646024,0.5062711481566126,1.6065431289406752e-05
Norway,-0.0019294643677267907,0.0029379321110243237,0.5113466140992632,1.1337890802763304e-05
Oman,-0.0019442683070410513,0.0029390875524182222,0.5082782146398982,3.4660485114972658e-06
Pakistan,-0.0018776194352309102,0.0029180619551661194,0.5199338224630903,6.318282329864384e-05
Panama,-0.0019364427433952336,0.002939092949184314,0.5099874301013885,4.359515134320403e-06
Paraguay,-0.0017454502027246137,0.0029184613163708837,0.5497918450841797,0.0001953520558049403
Peru,-0.002079326589624173,0.0030468886864614673,0.4949591363520538,0.00013852433109461906
Philippines,-0.0022585784368999743,0.0029407493111084713,0.4424704239422468,0.0003177761783704203
Poland,-0.0020034670162332488,0.0029313078185135046,0.4943085944540979,6.266475770369474e-05
Portugal,-0.0019091434565568805,0.002922085438238105,0.5135308999004918,3.1658801972673546e-05
Qatar,-0.001939881293749608,0.002936809691026587,0.5089071352978238,9.209647799459948e-07
Romania,-0.002116383948030301,0.00301410940286185,0.4825800312439863,0.00017558168950074682
Russia,-0.004158681250389463,0.003987273369136308,0.29695350511841123,0.002217878991859909
Saudi Arabia,-0.0019379925642541646,0.0029349698438576265,0.5090543399396544,2.8096942753894506e-06
Serbia,-0.001965539323270839,0.0029437487771223733,0.504325486356323,2.473706474128497e-05
Singapore,-0.0019412286997056878,0.002937546852025122,0.5087192423722577,4.264411761338051e-07
Slovakia,-0.0019270107433531775,0.0029360370153118823,0.5116114751956422,1.3791515176376579e-05
Slovenia,-0.0019372487212725466,0.002936771070199251,0.5094767803130956,3.553537257007435e-06
South Africa,-0.003208727492188329,0.003040268642970946,0.291238217672936,0.0012679252336587749
Spain,-0.0017248492531197288,0.002879131574850882,0.5491151121769087,0.00021595300540982521
Sri Lanka,-0.0018468677336285107,0.002934685154483888,0.5291369770149684,9.393452490104337e-05
Sweden,-0.0019640707465110063,0.0029444278986067727,0.5047423402236904,2.3268487981452238e-05
Switzerland,-0.001934523248583178,0.0029360869559349853,0.5099740820236307,6.279009946376065e-06
Taiwan*,-0.0019171835895541074,0.002939262495533391,0.5142290193032184,2.3618668975446643e-05
Thailand,-0.0019167172236211544,0.002953643217406828,0.5163815370135227,2.40850349083996e-05
Tunisia,-0.0019178951330075201,0.002942207362774722,0.5144941572146606,2.2907125522033918e-05
Turkey,-0.0021216608954632977,0.003008307763805115,0.4806439472948211,0.0001808586369337437
US,-0.003020323137839225,0.003946650357071768,0.4441002220437832,0.001079520879309671
Ukraine,-0.0019069790100015736,0.0029729795508028002,0.5212388164191701,3.382324852798041e-05
United Arab Emirates,-0.0019380598967895751,0.002935950993974926,0.5091812122894034,2.7423617399789223e-06
United Kingdom,-0.0014236918725810906,0.0027401728954644044,0.6033683390761102,0.0005171103859484634
Uruguay,-0.0019296308921621383,0.0029464310689041383,0.5125292589028014,1.1171366367415713e-05
Uzbekistan,-0.0019489645151301062,0.0029403174939748363,0.5074320591800487,8.162256600552148e-06
Venezuela,-0.0019397160126180641,0.0029388921870188048,0.509243529676537,1.0862459114899248e-06
Vietnam,-0.0015143083502758296,0.00293941916407029,0.6064323814976832,0.0004264939082537244
West Bank and Gaza,-0.001939088671707224,0.002935675566903381,0.5089166381131265,1.71358682233007e-06
Zambia,-0.0018987706036097537,0.0029368416971377693,0.5179330135842639,4.203165491980035e-05
Zimbabwe,-0.0018972131861963077,0.002941085838086091,0.518880293869886,4.358907233324629e-05
