scope,group,n_regions,n_obs,grp_value,beta,se,z,p,pct_per_10degC
美国州,amplitude低,18,603,21.005591397849464,-0.053632868556446944,0.009584253883253705,-5.5959357097330376,2.1943501163959143e-08,-41.510836344362
美国州,amplitude中,17,558,27.35483870967742,-0.15689064956479645,0.046710218220159465,-3.3588078913552297,0.0007827946512450442,-79.1727194900104
美国州,amplitude高,17,551,33.00910138248848,-0.08920913612660186,0.030978618750574397,-2.8797002488998245,0.00398053423854538,-59.02021793469465
美国州,温差幅度>8C,50,1651,,-0.037393110355113945,0.009532312464596675,-3.922774299939621,8.753514556862793e-05,-31.197568737204296
美国州,温差幅度>12C,49,1617,,-0.037815542662552874,0.011464168786624178,-3.2985856512051854,0.0009717322985842733,-31.48759941222804
全球国家,amplitude低,41,1150,6.897526881720431,-0.05593669901785038,0.011091461650283798,-5.043221604288658,4.5775858728233313e-07,-42.84292407373441
全球国家,amplitude中,37,1143,20.73548387096774,-0.029880183270594877,0.012168895872437557,-2.455455579850365,0.014070614112360548,-25.82936231818602
全球国家,amplitude高,37,1134,27.77488479262673,0.0005874635062180052,0.004016107196614996,0.14627684906248345,0.8837028410366404,0.5891924570673446
全球国家,温差幅度>8C,90,2711,,0.0014137964395424456,0.0033312150609024357,0.4244086357965265,0.6712678237816038,1.4238378070988045
全球国家,温差幅度>12C,82,2529,,0.0012866007847880962,0.0035579866365486076,0.3616092234781836,0.7176440711464966,1.294913103215678
