region,ym,confirmed,deaths,raw_deaths,days,dim,month,lat,south,season,epoch,cfr,temp_c,amplitude,date,cal_month,annual_t
Afghanistan,2020-04-01,1661.0,157.0,56.0,30,30,4,33.93911,False,transition,E2019,0.09452137266706803,-3.26,29.770967741935486,2020-04-01,2020-04,2.616944377071712
Afghanistan,2020-05-01,13353.0,392.0,194.0,31,31,5,33.93911,False,warm,E2019,0.029356698869167978,3.629032258064516,29.770967741935486,2020-05-01,2020-05,2.616944377071712
Afghanistan,2020-06-01,16265.0,603.0,485.0,30,30,6,33.93911,False,warm,E2019,0.03707347064248386,10.08,29.770967741935486,2020-06-01,2020-06,2.616944377071712
Afghanistan,2020-07-01,5183.0,201.0,536.0,31,31,7,33.93911,False,warm,E2019,0.03878062897935559,11.561290322580644,29.770967741935486,2020-07-01,2020-07,2.616944377071712
Afghanistan,2020-08-01,1620.0,59.0,131.0,31,31,8,33.93911,False,warm,E2019,0.03641975308641975,13.183870967741935,29.770967741935486,2020-08-01,2020-08,2.616944377071712
Afghanistan,2020-09-01,1106.0,55.0,56.0,30,30,9,33.93911,False,warm,E2020,0.04972875226039783,7.79,29.770967741935486,2020-09-01,2020-09,2.616944377071712
Afghanistan,2020-10-01,1980.0,158.0,71.0,31,31,10,33.93911,False,transition,E2020,0.0797979797979798,1.1096774193548387,29.770967741935486,2020-10-01,2020-10,2.616944377071712
Afghanistan,2020-11-01,4881.0,413.0,230.0,30,30,11,33.93911,False,cold,E2020,0.08461380864576931,-6.22,29.770967741935486,2020-11-01,2020-11,2.616944377071712
Afghanistan,2020-12-01,6115.0,289.0,426.0,31,31,12,33.93911,False,cold,E2020,0.04726083401471791,-12.85483870967742,29.770967741935486,2020-12-01,2020-12,2.616944377071712
Afghanistan,2021-01-01,2693.0,69.0,211.0,31,31,1,33.93911,False,cold,E2020,0.025621982918678055,-11.254838709677419,29.770967741935486,2021-01-01,2021-01,2.616944377071712
Afghanistan,2021-02-01,691.0,31.0,43.0,28,28,2,33.93911,False,cold,E2020,0.04486251808972504,-7.482142857142857,29.770967741935486,2021-02-01,2021-02,2.616944377071712
Afghanistan,2021-03-01,740.0,94.0,41.0,31,31,3,33.93911,False,cold,E2020,0.12702702702702703,-6.541935483870968,29.770967741935486,2021-03-01,2021-03,2.616944377071712
Afghanistan,2021-04-01,3291.0,225.0,141.0,30,30,4,33.93911,False,transition,E2020,0.06836827711941659,-1.32,29.770967741935486,2021-04-01,2021-04,2.616944377071712
Afghanistan,2021-05-01,12093.0,1433.0,319.0,31,31,5,33.93911,False,warm,E2020,0.11849830480443231,4.164516129032258,29.770967741935486,2021-05-01,2021-05,2.616944377071712
Afghanistan,2021-06-01,46821.0,2078.0,1927.0,30,30,6,33.93911,False,warm,E2020,0.04438179449392367,10.316666666666666,29.770967741935486,2021-06-01,2021-06,2.616944377071712
Afghanistan,2021-07-01,28495.0,772.0,1837.0,31,31,7,33.93911,False,warm,E2020,0.027092472363572557,13.245161290322581,29.770967741935486,2021-07-01,2021-07,2.616944377071712
Afghanistan,2021-08-01,6066.0,134.0,410.0,31,31,8,33.93911,False,warm,E2020,0.022090339597757996,11.496774193548386,29.770967741935486,2021-08-01,2021-08,2.616944377071712
Afghanistan,2021-09-01,1954.0,50.0,86.0,30,30,9,33.93911,False,warm,E2021,0.0255885363357216,10.34,29.770967741935486,2021-09-01,2021-09,2.616944377071712
Afghanistan,2021-10-01,1076.0,54.0,76.0,31,31,10,33.93911,False,transition,E2021,0.05018587360594796,1.738709677419355,29.770967741935486,2021-10-01,2021-10,2.616944377071712
Albania,2020-04-01,530.0,5.0,16.0,30,30,4,41.1533,False,transition,E2019,0.009433962264150943,13.68,21.90967741935484,2020-04-01,2020-04,17.127584259510257
Albania,2020-06-01,1398.0,73.0,29.0,30,30,6,41.1533,False,warm,E2019,0.05221745350500715,20.553333333333335,21.90967741935484,2020-06-01,2020-06,17.127584259510257
Albania,2020-07-01,2741.0,123.0,95.0,31,31,7,41.1533,False,warm,E2019,0.044874133527909525,25.68064516129032,21.90967741935484,2020-07-01,2020-07,17.127584259510257
Albania,2020-08-01,4237.0,124.0,127.0,31,31,8,41.1533,False,warm,E2019,0.029265990087325937,25.799999999999997,21.90967741935484,2020-08-01,2020-08,17.127584259510257
Albania,2020-09-01,4136.0,98.0,103.0,30,30,9,41.1533,False,warm,E2020,0.023694390715667313,23.05666666666667,21.90967741935484,2020-09-01,2020-09,17.127584259510257
