scope,sample,outcome,beta,se,p,pct_per_10degC,n
美国州,全期 2020-03~2022-12,传播:确诊,-0.020036066508868695,0.009839566429886641,0.0417227143129139,-18.156448127812475,1712
美国州,全期 2020-03~2022-12,负担:死亡,-0.014380135970313478,0.05148910602379803,0.7800261019328047,-13.394023465725201,1712
美国州,全期 2020-03~2022-12,负担:人均死亡,-0.3882614495327105,0.054046432108645126,6.777533002747554e-13,-97.94030957854525,1712
美国州,剔除首轮 2020-09~,传播:确诊,0.027080909111003377,0.01801392084726126,0.13275337412040966,31.102476021043945,1434
美国州,剔除首轮 2020-09~,负担:死亡,0.053817586052211534,0.08857296024000806,0.5434478919143175,71.28794795814537,1434
美国州,剔除首轮 2020-09~,负担:人均死亡,-0.28671480609488326,0.028646365447985624,1.3947957208202948e-23,-94.31391407359652,1434
全球国家,全期 2020-03~2022-12,传播:确诊,0.0012690993128179153,0.010475940528877091,0.9035768296314824,1.277186553640508,3427
全球国家,全期 2020-03~2022-12,负担:死亡,-0.022322537563903087,0.010397983347351111,0.031808082044898066,-20.006545678184185,3427
全球国家,剔除首轮 2020-09~,传播:确诊,0.004752708363725163,0.011112484641599309,0.6688761887252925,4.867460265920842,2925
全球国家,剔除首轮 2020-09~,负担:死亡,-0.008557531727049175,0.013251450115740929,0.5184213401467177,-8.201599959889172,2925
