region,lat,winter,cfr_w,cfr_s1,cfr_s2,temp_w,temp_s,cases_w,cases_s,penalty_cfr,penalty_cases,penalty_deaths_pm,penalty_cases_pm,y_pct
Alabama,33.06935820714117,W1 2020冬-2021春,0.0228420480149172,0.0155774638344005,0.0157883173898634,10.34847004608295,24.01822580645161,321775.0,208069.0,0.3760552963663426,0.4801262593459494,0.8561815557122898,0.4801262593459476,135.41543023988427
Alaska,61.5692043399056,W1 2020冬-2021春,0.0049424101770672,0.0066969624491748,0.0069436980028806,-6.005866359447006,12.544166666666666,46536.0,27439.5,-0.321891169607527,0.85846847155182,0.536577301944293,0.85846847155182,71.0143528768032
Arizona,33.32551393530557,W1 2020冬-2021春,0.0180275733597375,0.0241401551799366,0.0140164267848333,15.196697388632874,32.71045161290323,595865.0,220969.0,-0.0201508746467551,0.993040930754212,0.972890056107456,0.993040930754212,164.5579294086298
Arkansas,34.01505580790345,W1 2020冬-2021春,0.0154485628391259,0.0204063867886987,0.0151292157254041,9.281519201228878,24.35703225806452,218208.0,120384.0,-0.1287218313319771,0.6531564562689933,0.5244346249370171,0.6531564562689951,68.95033752270172
California,35.366595098919404,W1 2020冬-2021春,0.0148945583247308,0.0176189277623961,0.0099809019280415,11.782654377880185,29.517,2786991.0,854276.5,0.1161723206355134,1.1872644254098184,1.3034367460453318,1.1872644254098184,268.1928802717594
Colorado,39.51493622068787,W1 2020冬-2021春,0.0077470870556255,0.013765736660053,0.0119413191168742,0.4367004608294932,20.16652688172043,353165.0,107446.0,-0.5037767084392044,1.3147177454097392,0.8109410369705365,1.314717745409741,125.00243468286926
Connecticut,41.37844392575823,W1 2020冬-2021春,0.0133616242789776,0.032964824120603,0.0099585224604789,2.41305069124424,19.800344086021507,239417.0,40481.0,-0.3045481467457493,1.81310472989388,1.5085565831481291,1.8131047298938776,352.0201548147444
Delaware,39.133656095396745,W1 2020冬-2021春,0.0116963250347167,0.0168146608728509,0.0136914349744379,5.86073425499232,22.5257311827957,69851.0,22218.5,-0.2602361220495339,1.187897107716731,0.9276609856671943,1.1878971077167293,152.85878520570816
District of Columbia,38.90417772999957,W1 2020冬-2021春,0.0156714500678973,0.0209033899845496,0.0043080236941303,5.305566820276498,22.28216666666667,27247.0,12001.0,0.501645287250688,0.8234232261487637,,,
Florida,27.573776588401252,W1 2020冬-2021春,0.013293626134093,0.0209058508440518,0.0164286524236097,19.115261136712743,26.436526881720432,1255188.0,1011057.5,-0.3322433046384514,0.2756307319381115,-0.0566125727003399,0.2756307319381115,-5.503989820300747
Georgia,32.186013835788614,W1 2020冬-2021春,0.0152413281851513,0.0203213578190442,0.0161056069747079,13.49598924731183,25.660236559139783,698758.0,385145.5,-0.1714092587533064,0.6259768651481963,0.4545676063948907,0.6259768651481998,57.549200306541046
Hawaii,20.692486293324656,W1 2020冬-2021春,0.0157078215901745,0.0153253424657534,0.0085106382978723,23.53009370199693,24.62135483870968,15470.0,28517.5,0.3187463918362754,-0.3972965361485183,,,
Idaho,44.062344729583536,W1 2020冬-2021春,0.0101873576702781,0.0117062699680511,0.0186174030373496,-6.527748079877112,11.078967741935486,115928.0,54865.0,-0.3709631842523437,0.7858740240683453,0.4149108398160006,0.7858740240683435,51.423572513726
Illinois,41.19841161920047,W1 2020冬-2021春,0.0145717950142384,0.0205846739318457,0.0117793483575587,1.0391152073732717,21.30410752688172,828038.0,267631.5,-0.0663595250563,1.1337702366356766,1.0674107115793792,1.1337702366356766,190.78405061227804
Indiana,40.08967303929022,W1 2020冬-2021春,0.0148894090180404,0.021794018633054,0.0118923703600495,2.0131766513056832,21.062870967741937,507139.0,173103.0,-0.0781161468469573,1.1667683802996311,1.0886522334526738,1.1667683802996311,197.02681455990506
Iowa,41.95646209273208,W1 2020冬-2021春,0.0166358595194085,0.0144210859662371,0.0093220047469987,-1.4466543778801844,21.116064516129036,222892.0,84657.5,0.3610260045108147,0.9685294596790506,1.329555464189866,0.9685294596790488,277.93629519179206
Kansas,38.43880632992502,W1 2020冬-2021春,0.0163507732351271,0.0132254139554568,0.0113868613138686,4.007967741935484,23.134505376344084,216687.0,78017.0,0.2869749625684896,1.060288800973744,1.3472637635422338,1.060288800973744,284.68851294182144
Kentucky,37.751990303875296,W1 2020冬-2021春,0.0143591412044785,0.015234204453315,0.011455522880708,5.14115514592934,21.77675268817204,319657.0,155674.5,0.0833791800875083,0.9316435695388848,1.0150227496263948,0.9316435695388848,175.9426172576713
Louisiana,30.71736722204497,W1 2020冬-2021春,0.0158081801427885,0.0226234609951454,0.0139172625127681,13.158201228878648,25.744903225806453,258284.0,210704.5,-0.1155311843667101,0.2643131778560015,0.1487819934892922,0.2643131778560033,16.041998252018995
Maine,44.43607672355733,W1 2020冬-2021春,0.0135486519775557,0.0170004657661853,0.0102515985543508,-1.241448540706605,18.138182795698924,43842.0,16535.0,0.0259498615063593,1.3722120591121794,1.3981619206185396,1.3722120591121794,304.77530335218603
Maryland,39.13330786841944,W1 2020冬-2021春,0.0157481498742778,0.0184399366885796,0.0211681324244457,4.828084485407065,21.87336559139785,266063.0,93961.0,-0.2267849339182848,1.045484483912542,0.8186995499942586,1.0454844839125403,126.75490850745285
Massachusetts,38.45458355915479,W1 2020冬-2021春,0.0106644808009995,0.0370886910144216,0.0086519540080339,14.749536098310292,23.43058064516129,477004.0,94113.5,-0.5186299773003178,1.672416777596922,1.1537868002966043,1.672416777596922,217.01750281633247
Michigan,42.12277369271249,W1 2020冬-2021春,0.0168596125294883,0.0217060167555217,0.0146163101541688,1.23005376344086,20.325236559139785,548945.0,154066.5,-0.0549427948268705,1.3514623661514502,1.2965195713245787,1.3514623661514484,265.654814031761
Minnesota,45.198362871237634,W1 2020冬-2021春,0.0104161894264223,0.0161280027234622,0.0088112239617983,-3.6998955453149,20.04108602150538,371057.0,114640.0,-0.1349304384723311,1.1910381925800486,1.0561077541077175,1.1910381925800486,187.5158358954065
Mississippi,32.63286564690713,W1 2020冬-2021春,0.0189527856162087,0.0289247606019151,0.0152866386392738,10.68320276497696,24.691645161290324,184986.0,133934.5,-0.1038876569783182,0.3761507467735026,0.2722630897951852,0.3761507467735026,31.293237498659863
Missouri,38.44238219375495,W1 2020冬-2021春,0.0140504674051805,0.015654362141935,0.0129118565976125,4.138539170506912,22.73653763440861,388528.0,178182.5,-0.0117921447984423,0.8311439766214601,0.8193518318230204,0.8311439766214619,126.90286486323004
Montana,46.80225530131097,W1 2020冬-2021春,0.0133377932014884,0.0194150693985459,0.0150653780557134,-5.589691244239631,14.07283512544803,71751.0,27160.0,-0.2486228028193133,1.1550341555301262,0.9064113527108136,1.155034155530128,147.5423153977617
Nebraska,41.06418080842873,W1 2020冬-2021春,0.0095517047340095,0.0106096940629314,0.014842459730176,0.4452718894009217,22.097301075268817,138614.0,43953.0,-0.2729104009793222,1.1504207044792167,0.8775103034998946,1.1504207044792167,140.4904763746612
Nevada,36.67590885162251,W1 2020冬-2021春,0.0166353860325811,0.0180442297169244,0.0185113476449976,11.541940092165898,32.42732258064516,203001.0,90404.0,-0.0940728250786371,0.8237958410504689,0.7297230159718318,0.8237958410504689,107.45059230815359
New Hampshire,42.919692985787975,W1 2020冬-2021春,0.0104662616975866,0.0441176470588235,0.007800803719171,0.9352580645161288,19.59089247311828,73092.0,15751.0,-0.5723864037061639,1.7689177426862432,1.1965313389800816,1.768917742686245,230.8620512686475
