region,epoch,cfr_cold,cfr_warm,confirmed_cold,confirmed_warm,deaths_cold,deaths_warm,months_cold,months_warm,cfr_ratio,lag
Albania,E2021,0.005714156398157892,0.004269832925156112,88377.0,77989.0,505.0,333.0,5.0,5.0,1.3382622923001075,14
Algeria,E2020,0.016911392405063293,0.03037971558364606,59250.0,81008.0,1002.0,2461.0,5.0,5.0,0.5566672393130302,14
Argentina,E2020,0.022512879088640945,0.019659073506405382,2541523.0,1181897.0,57217.0,23235.0,5.0,5.0,1.1451648055187202,14
Argentina,E2021,0.004308429195144675,0.00322050281880684,677277.0,3749104.0,2918.0,12074.0,5.0,5.0,1.3378125831732384,14
Armenia,E2020,0.019994942913270964,0.026126374467824436,102826.0,32649.0,2056.0,853.0,5.0,5.0,0.7653164023158073,14
Armenia,E2021,0.01405515224225653,0.022095005306660663,114193.0,31093.0,1605.0,687.0,5.0,5.0,0.6361235060676599,14
Australia,E2021,0.0017036836514227026,0.001099513841740899,4141027.0,4401036.0,7055.0,4839.0,5.0,5.0,1.5494881344333056,14
Austria,E2020,0.022088634460288872,0.008678290660344182,435835.0,88151.0,9627.0,765.0,5.0,5.0,2.5452747925606856,14
Austria,E2021,0.0016603814572413692,0.001400134872086739,3019788.0,836348.0,5014.0,1171.0,5.0,5.0,1.1858725115293807,14
Azerbaijan,E2020,0.014836953362655248,0.013369715996203548,206444.0,109576.0,3063.0,1465.0,5.0,5.0,1.1097433458473116,14
Azerbaijan,E2021,0.008673559459936598,0.008975289787947826,260562.0,79886.0,2260.0,717.0,5.0,5.0,0.9663821074149164,14
Bahrain,E2020,0.0037579617834394906,0.006375657216719943,62800.0,114498.0,236.0,730.0,5.0,5.0,0.589423436000349,14
Bahrain,E2021,0.00028814291888776836,0.00039807407969063956,277640.0,105508.0,80.0,42.0,5.0,5.0,0.7238424544288253,14
Bangladesh,E2020,0.01873179739797948,0.019873252614685675,203611.0,791969.0,3814.0,15739.0,5.0,5.0,0.9425632412148429,14
Bangladesh,E2021,0.0031462838775200373,0.008197436882354995,382038.0,114548.0,1202.0,939.0,5.0,5.0,0.38381312630688524,14
Belarus,E2020,0.006018135005037502,0.010919726505224492,223325.0,129582.0,1344.0,1415.0,5.0,5.0,0.5511250672952435,14
Belarus,E2021,0.0056297391453057465,0.007858098681775475,362539.0,70246.0,2041.0,552.0,5.0,5.0,0.7164251014513541,14
Belgium,E2020,0.020519654740260886,0.005113089773381184,453224.0,227651.0,9300.0,1164.0,5.0,5.0,4.013161444394442,14
Belgium,E2021,0.0019450706272652002,0.002565015005440629,2490398.0,486157.0,4844.0,1247.0,5.0,5.0,0.7583076992296455,14
Bolivia,E2020,0.030005829204313612,0.028150688076905413,205860.0,130654.0,6177.0,3678.0,5.0,5.0,1.0659003830506772,14
Bolivia,E2021,0.0023418863094199103,0.0074261186170527784,206244.0,388359.0,483.0,2884.0,5.0,5.0,0.3153580531345378,14
Bosnia and Herzegovina,E2020,0.04839546245482532,0.059876839760667336,119536.0,22897.0,5785.0,1371.0,5.0,5.0,0.8082501122014117,14
Bosnia and Herzegovina,E2021,0.030860272900670026,0.032883961194405946,122682.0,39685.0,3786.0,1305.0,5.0,5.0,0.9384597165234406,14
Botswana,E2020,0.014211168095255173,0.019153165090646268,111532.0,33206.0,1585.0,636.0,5.0,5.0,0.7419749178789989,14
Botswana,E2021,0.003461930619116496,0.002329061984999832,42173.0,118932.0,146.0,277.0,5.0,5.0,1.4864055321038379,14
Brazil,E2020,0.024915053243947917,0.027223235513475712,7012628.0,7225629.0,174720.0,196705.0,5.0,5.0,0.9152127869449894,14
Brazil,E2021,0.007428302428521709,0.0062058155018191495,4628783.0,8137045.0,34384.0,50497.0,5.0,5.0,1.196990536754469,14
Brunei,E2021,0.000997674840454478,0.0006159494679887439,121282.0,82799.0,121.0,51.0,5.0,5.0,1.6197348846037316,14
Bulgaria,E2020,0.044101052834993736,0.04829337195372704,289789.0,55929.0,12780.0,2701.0,5.0,5.0,0.9131905901548926,14
Bulgaria,E2021,0.01954585025846754,0.02244326965859986,536431.0,132601.0,10485.0,2976.0,5.0,5.0,0.8709002991004886,14
Burma,E2020,0.01843348787446505,0.0527260964618748,89728.0,268956.0,1654.0,14181.0,5.0,5.0,0.3496084313352107,14
Burma,E2021,0.004528579371200029,0.023416552463802656,111514.0,67132.0,505.0,1572.0,5.0,5.0,0.19339223304542005,14
Canada,E2020,0.016588338748542146,0.009510395576378224,752818.0,306717.0,12488.0,2917.0,5.0,5.0,1.7442322577773746,14
Canada,E2021,0.00505779366959289,0.010047378321397075,1769744.0,554473.0,8951.0,5571.0,5.0,5.0,0.5033943689391812,14
Chile,E2020,0.022387862394370493,0.02013468457515424,491695.0,485282.0,11008.0,9771.0,5.0,5.0,1.1119052951043804,14
Chile,E2021,0.003561291926495266,0.01080698782806123,965380.0,1775888.0,3438.0,19192.0,5.0,5.0,0.3295360356794407,14
China,E2021,0.006994705319757393,0.0010903684123575086,1264099.0,484240.0,8842.0,528.0,5.0,5.0,6.414992621286591,14
Colombia,E2020,0.024763679136581562,0.022370665037653267,1332193.0,2263947.0,32990.0,50646.0,5.0,5.0,1.1069710755089526,14
Colombia,E2021,0.011019566219473104,0.011496595706317444,1082529.0,255119.0,11929.0,2933.0,5.0,5.0,0.9585068920374221,14
Costa Rica,E2020,0.014027136610077439,0.011395262289246302,106793.0,247208.0,1498.0,2817.0,5.0,5.0,1.2309621537465474,14
Costa Rica,E2021,0.004160106728255373,0.004552590781413368,278839.0,305101.0,1160.0,1389.0,5.0,5.0,0.9137888573775685,14
Croatia,E2020,0.02425826301300851,0.018675086728016786,222316.0,48139.0,5393.0,899.0,5.0,5.0,1.2989638745085834,14
Croatia,E2021,0.009277576698238628,0.010517169299374544,628828.0,121991.0,5834.0,1283.0,5.0,5.0,0.8821362891619863,14
Cuba,E2020,0.005206505206505206,0.010368568940302678,68376.0,547713.0,356.0,5679.0,5.0,5.0,0.502143086136747,14
Cuba,E2021,0.0017138642214572907,0.006658885045935969,138284.0,232171.0,237.0,1546.0,5.0,5.0,0.2573800583182152,14
Cyprus,E2020,0.00565794499618029,0.004092050887286282,41888.0,49364.0,237.0,202.0,5.0,5.0,1.3826673108487317,14
Cyprus,E2021,0.0013237303111418314,0.0013975478486683648,306709.0,100891.0,406.0,141.0,5.0,5.0,0.9471806724922732,14
Czechia,E2020,0.01843087794325234,0.013386059888343765,1197230.0,94576.0,22066.0,1266.0,5.0,5.0,1.3768710208223012,14
Czechia,E2021,0.0036741501140358265,0.004090874006226362,2303662.0,194335.0,8464.0,795.0,5.0,5.0,0.8981332860517639,14
Denmark,E2020,0.009168690899626963,0.0014787361485474693,184432.0,106848.0,1691.0,158.0,5.0,5.0,6.200356235717353,14
Denmark,E2021,0.0011916711945260483,0.004492215061856155,2714675.0,170072.0,3235.0,764.0,5.0,5.0,0.2652747426641808,14
Dominican Republic,E2020,0.008909465511618102,0.006498130674737404,125709.0,101106.0,1120.0,657.0,5.0,5.0,1.3710813090070926,14
Dominican Republic,E2021,0.0010440380335416317,0.0010275078530957344,196353.0,68126.0,205.0,70.0,5.0,5.0,1.016087643900817,14
Ecuador,E2020,0.0975169576942984,0.02742225792990913,146836.0,160563.0,14319.0,4403.0,5.0,5.0,3.5561242966771824,14
Ecuador,E2021,0.00515938414027586,0.007077646894007495,134706.0,342628.0,695.0,2425.0,5.0,5.0,0.728968853284304,14
Egypt,E2020,0.06479445102351548,0.04766071099650027,94576.0,65148.0,6128.0,3105.0,5.0,5.0,1.3594940081417028,14
El Salvador,E2020,0.033042071197411,0.034774902516838,30900.0,28210.0,1021.0,981.0,5.0,5.0,0.9501700596115845,14
El Salvador,E2021,0.008314087759815243,0.009823143405889885,47630.0,49984.0,396.0,491.0,5.0,5.0,0.8463775205429839,14
Estonia,E2020,0.009623814261369793,0.004777146132900205,101519.0,20933.0,977.0,100.0,5.0,5.0,2.014553039332539,14
Estonia,E2021,0.0022962175886955443,0.005031792920442597,362335.0,39946.0,832.0,201.0,5.0,5.0,0.4563418298409563,14
Ethiopia,E2020,0.015278029342510414,0.017949654398138754,110420.0,73929.0,1687.0,1327.0,5.0,5.0,0.8511600838451037,14
Ethiopia,E2021,0.008471092158981175,0.01997938898307902,104591.0,60162.0,886.0,1202.0,5.0,5.0,0.423991552802517,14
Finland,E2020,0.00860403577980162,0.003544693453977286,61599.0,42881.0,530.0,152.0,5.0,5.0,2.4273003833794293,14
Finland,E2021,0.0030003368993112896,0.006318021766965429,724252.0,249920.0,2173.0,1579.0,5.0,5.0,0.4748854958048623,14
France,E2020,0.016903843757881846,0.007360551578229521,3290790.0,1489834.0,55627.0,10966.0,5.0,5.0,2.296545792557007,14
France,E2021,0.0013944156257421911,0.0014564118361208255,18534646.0,6180944.0,25845.0,9002.0,5.0,5.0,0.9574322256651235,14
Georgia,E2020,0.013309996911355915,0.01629771586283711,242825.0,244206.0,3232.0,3980.0,5.0,5.0,0.8166786697825585,14
Georgia,E2021,0.00619794901492653,0.008102375073895052,929017.0,143785.0,5758.0,1165.0,5.0,5.0,0.7649545915117691,14
Germany,E2020,0.029129477931287444,0.011782659674361163,2290120.0,608097.0,66710.0,7165.0,5.0,5.0,2.472232818085429,14
Germany,E2021,0.0021334644957577004,0.0016744325357852467,16545389.0,7719033.0,35299.0,12925.0,5.0,5.0,1.274141806350642,14
Greece,E2020,0.036090145162583874,0.01236613312411137,224438.0,251089.0,8100.0,3105.0,5.0,5.0,2.9184664923439687,14
