region,lat,n_cold,n_warm,dlog,ratio
Alabama,33.06935820714117,13,15,0.26956572028745507,1.3093956832591656
Alaska,61.5692043399056,11,13,0.056686678182969574,1.0583241623923678
Arizona,33.32551393530557,13,15,0.06161342755322019,1.0635511256892465
Arkansas,34.01505580790345,13,15,-0.09738670728733215,0.9072051154624013
California,35.366595098919404,13,15,0.05961721121795532,1.0614301652110472
Colorado,39.51493622068787,13,15,-0.3086551397020625,0.7344340034879284
Connecticut,41.37844392575823,13,15,0.16156123173725007,1.175344424336015
Delaware,39.133656095396745,12,15,0.08731943173792281,1.0912452024022141
District of Columbia,38.90417772999957,12,14,-0.09163495752881279,0.9124381674420029
Florida,27.573776588401255,13,15,-0.20310035802586235,0.8161963254632769
Georgia,32.186013835788614,13,15,0.0252243586695044,1.02554518466817
Hawaii,20.692486293324656,12,13,0.09869940939686572,1.1037344774777955
Idaho,44.062344729583536,13,15,-0.19473918141360658,0.8230492966180145
Illinois,41.19841161920047,13,15,0.012346640538828876,1.0124231749617831
Indiana,40.08967303929022,13,15,0.13970031524549378,1.1499291309846347
Iowa,41.95646209273208,12,15,0.26452650954324075,1.3028139597374244
Kansas,38.43880632992502,12,14,0.1932647445017397,1.2132039400789756
Kentucky,37.751990303875296,13,15,0.07165358335330047,1.074283130037455
Louisiana,30.71736722204497,13,15,0.021370861160202134,1.0216008534695247
Maine,44.43607672355733,12,15,-0.04257173420914331,0.9583217186046347
Maryland,39.13330786841944,13,15,-0.025875115678560018,0.9744567763834973
Massachusetts,38.45458355915479,13,15,-0.039791487643547147,0.9609897965101024
Michigan,42.12277369271249,13,15,0.021651257096095444,1.021887346360787
Minnesota,45.198362871237634,13,15,-0.024718903679304877,0.9755841065918773
Mississippi,32.63286564690713,13,15,-0.021043785433547457,0.9791760899812061
Missouri,38.442382193754945,13,15,0.27273711274056367,1.3135548825878596
Montana,46.80225530131097,12,13,-0.2864872942821507,0.7508966191510568
Nebraska,41.06418080842873,12,15,-0.04038877489541029,0.9604159809388982
Nevada,36.67590885162251,13,15,0.051787388699685244,1.0531518067335113
New Hampshire,42.919692985787975,12,15,-0.47980228077653875,0.6189057492736726
New Jersey,40.418263788370275,13,15,-0.11614181176526518,0.8903489523876938
New Mexico,34.22559203172522,12,15,-0.21496317982319885,0.8065711377224828
New York,41.33499323866982,13,15,-0.09978455690324106,0.9050323800122164
North Carolina,35.5443369351402,13,15,-0.1634221421775997,0.8492326158298742
North Dakota,47.365995809785694,11,10,0.016004312971507006,1.0161330679496132
Ohio,40.39834667583883,13,15,0.008776063055883285,1.0088146855992106
Oklahoma,35.589254707587955,13,14,0.08739294023161698,1.091325421141637
Oregon,44.66039539962666,13,15,0.10779719371678897,1.1138218324129656
Pennsylvania,40.47103564303458,13,15,0.02151779922046726,1.0217509765464254
Puerto Rico,17.84316234446089,12,13,-0.2476369422986165,0.7806433104014883
Rhode Island,39.0407267199561,12,15,-0.1030711716724621,0.9020627698808066
South Carolina,34.0646144999731,13,15,0.10505006548117346,1.1107662200089075
South Dakota,44.019343828825924,12,14,0.050097766467977756,1.0513738804623405
Tennessee,34.318710119315035,13,15,0.22985508237152227,1.2584176298162029
Texas,30.47745530398597,13,15,0.05658718690026425,1.0582188736016787
Utah,40.2422809672315,13,15,0.018341302619145683,1.0185105373887184
Vermont,42.80521247210115,12,8,0.046457654033606355,1.0475537184547368
Virginia,37.799101309493665,13,15,0.08974456175133781,1.0938948254361345
Washington,47.214833468969495,13,15,-0.04269219317381151,0.9582062871151109
West Virginia,38.71626293256997,11,15,-0.12702893862498918,0.8807081857444693
Wisconsin,43.712786614597164,13,15,0.1444527386868475,1.155407087617169
Wyoming,42.7794419243857,12,14,0.27842804459131,1.3210515451721472
