hemi,region,lat,winter,m_w,m_s1,m_s2,temp_w,temp_s,cases_w,penalty_cases,penalty_cases_pre,penalty_cases_post,penalty_deaths,penalty_deaths_pre,penalty_deaths_post,penalty_cfr,penalty_cfr_pre,penalty_cfr_post,penalty_deaths_pm
北半球,Alabama,33.06935820714117,W1 2020-21冬,5,5,5,10.34847004608295,24.01822580645161,321775.0,0.48012625934594766,0.779448262549602,0.18080425614229156,0.8561815557122898,1.1622260674437008,0.5501370439808788,0.3760552963663426,0.3827778048940975,0.3693327878385868,0.8561815557122898
北半球,Alaska,61.5692043399056,W1 2020-21冬,5,4,5,-6.005866359447006,12.544166666666666,46536.0,0.7468966958947156,1.4933850223598775,0.0004083694295520246,0.4250055262871877,1.1895840668738367,-0.33957301429946085,-0.32189116960752706,-0.30380095548604036,-0.3399813837290129,0.3134337506300824
北半球,Arizona,33.32551393530557,W1 2020-21冬,5,5,5,15.196697388632874,32.71045161290323,595865.0,0.9930409307542121,1.0388576657772006,0.9472241957312217,0.972890056107456,0.7468834609208361,1.198896651294075,-0.020150874646755135,-0.29197420485636405,0.25167245556285334,0.972890056107456
北半球,Arkansas,34.01505580790345,W1 2020-21冬,5,5,5,9.281519201228878,24.357032258064518,218208.0,0.6531564562689951,0.9982355749770608,0.30807733756092937,0.5244346249370171,0.7199036241439698,0.32896562573006527,-0.12872183133197712,-0.27833195083309104,0.020888288169136793,0.5244346249370189
北半球,California,35.366595098919404,W1 2020-21冬,5,5,5,11.782654377880183,29.517,2786991.0,1.1872644254098184,1.285338162302148,1.089190688517487,1.3034367460453318,1.1173603302248072,1.4895131618658572,0.11617232063551342,-0.16797783207734263,0.40032247334836857,1.3034367460453318
北半球,Colorado,39.51493622068787,W1 2020-21冬,5,5,5,0.4367004608294932,20.16652688172043,353165.0,1.314717745409741,1.8247090035286373,0.8047264872908428,0.8109410369705357,1.2498432583920334,0.37203881554903795,-0.5037767084392044,-0.5748657451366039,-0.4326876717418049,0.8109410369705348
北半球,Connecticut,41.37844392575823,W1 2020-21冬,5,5,5,2.4130506912442398,19.800344086021507,239417.0,1.8131047298938796,2.0820219616245943,1.5441874981631631,1.5085565831481293,1.1789676428972644,1.8381455233989952,-0.30454814674574937,-0.9030543187273299,0.29395802523583203,1.5085565831481302
北半球,Delaware,39.133656095396745,W1 2020-21冬,5,5,5,5.86073425499232,22.5257311827957,69851.0,1.1878971077167293,1.4813669204488011,0.8944272949846575,0.9276609856671953,1.1183904364597534,0.7369315348746373,-0.26023612204953395,-0.3629764839890477,-0.1574957601100202,0.9276609856671953
北半球,District of Columbia,38.90417772999957,W1 2020-21冬,5,5,4,5.305566820276498,22.28216666666667,27247.0,0.7118514504916593,0.9067754604178182,0.5169274405655013,1.2134967377423473,0.6187047043054292,1.808288771179266,0.501645287250688,-0.2880707561123885,1.2913613306137641,
北半球,Florida,27.573776588401255,W1 2020-21冬,5,5,5,19.115261136712746,26.436526881720432,1255188.0,0.2756307319381097,0.6235538887607497,-0.07229242488452847,-0.056612572700339925,0.1708095065940567,-0.28403465199473743,-0.3322433046384514,-0.45274438216669344,-0.21174222711020985,-0.0566125727003417
