region,lat,n_cold,n_warm,dlog,ratio
Germany,51.165691,13,15,0.28123429090469204,1.3247639477222897
Greece,39.0742,12,13,0.2927684230931234,1.3401324107761956
Guatemala,15.783500000000002,12,15,-0.35790945398320173,0.6991363761547086
Honduras,15.2,12,15,0.04484090490538006,1.0458614552448036
Hungary,47.1625,12,13,0.04520021198864477,1.0462373081930563
Iceland,64.9631,7,4,-1.3665488648894117,0.2549854319943931
India,20.593684,13,15,0.33578155550905975,1.3990333802943986
Indonesia,-0.7893,15,13,-0.032253446644076755,0.9682611484396833
Iran,32.427908,13,15,-0.35258772890643586,0.7028669053609031
Iraq,33.223191,13,15,-0.12650245103267305,0.8811719897595311
Ireland,53.1424,13,14,0.09062096591183506,1.094853939636741
Israel,31.046050999999995,13,15,-0.4512019281323546,0.636862228792662
Italy,41.87194,13,15,-0.03456951617664103,0.9660211832530754
Japan,36.204824,13,15,0.5584522318094672,1.7479649609502514
Jordan,31.24,10,12,-0.1568886622411863,0.8547992249497365
Kazakhstan,48.01959999999999,12,14,0.38567187604293157,1.4706020518751208
Kenya,-0.0236,14,10,0.1529507432078316,1.1652675801860923
"Korea, South",35.907757,13,15,0.44817127438275167,1.5654467936270178
Kosovo,42.602636,8,13,-0.1399427073634873,0.869408044651024
Kuwait,29.31166,11,13,-0.2009803716776304,0.8179284859602961
Kyrgyzstan,41.20437999999999,9,9,0.5038298741990719,1.655047772876913
Laos,19.85627,5,6,1.787907661954223,5.976933608522791
Latvia,56.8796,12,10,-0.028594671872767943,0.97181028669113
Lebanon,33.8547,12,14,0.10073797944732882,1.105986812518609
Libya,26.3351,10,11,0.3222711641295844,1.380259001947485
Lithuania,55.16940000000001,12,12,-0.01880634321533074,0.9813693926830299
Luxembourg,49.8153,13,12,0.5251420403096475,1.6906989787310525
Malaysia,4.210484,13,13,-0.5451103392239662,0.5797778075770323
Mauritius,-20.348404,8,7,0.020684965982594283,1.0209003826229393
Mexico,23.6345,13,15,0.22266285042559608,1.2493992682869348
Moldova,47.4116,12,15,-0.07167512951179744,0.9308332469474369
Mongolia,46.8625,9,9,-0.7639599540166171,0.46581815142227273
Montenegro,42.708678,12,13,-0.16138743128494965,0.8509623178086715
Morocco,31.7917,13,15,0.03856814258166383,1.0393215479984996
Mozambique,-18.665695,11,8,-0.18774605494156493,0.8288251565630818
Nepal,28.1667,10,14,0.2335645962790429,1.2630944164551086
Netherlands,51.62419146215896,13,15,-0.1509574050690664,0.8598843245925774
New Zealand,-40.831033300225286,7,8,0.07356486890255054,1.0763383552952197
Nigeria,9.082,9,13,-0.47685673033417997,0.6207314549112225
North Macedonia,41.6086,12,14,-0.11393763766675402,0.8923136009054531
Norway,60.472,13,13,-0.2878805445043066,0.7498511607313119
Oman,21.512583,9,10,-0.48319223400778,0.6168112398793367
Pakistan,30.3753,13,15,0.13901705842486883,1.1491437024179227
Panama,8.538,13,15,0.0022214600177848653,1.0022239292882136
Paraguay,-23.4425,15,11,0.04386638530518683,1.0448427392175705
Peru,-9.19,15,13,-0.3309654479432167,0.7182299849350706
Philippines,12.879721,13,15,0.672103371943279,1.9583521345617012
Poland,51.91940000000001,13,15,-0.14846593297951194,0.8620293734426115
Portugal,39.3999,13,15,0.3374460040919792,1.4013639384307344
Qatar,25.3548,12,15,0.31937311429139115,1.3762647331607845
Romania,45.9432,13,15,-0.5734253372357091,0.5635916372085092
Russia,61.52401,13,15,-0.024368616354561445,0.9759259011983019
Saudi Arabia,23.885942,13,15,0.055727648528480334,1.0573096846714345
Serbia,44.0165,13,15,-0.18988161538587317,0.8270570389764433
Singapore,1.2833,8,13,0.11688342712761202,1.1239883954973753
Slovakia,48.669,12,12,0.33977467774813663,1.4046310602707364
Slovenia,46.1512,13,13,0.04997041295597848,1.0512399928319502
South Africa,-30.5595,15,13,-0.17901848220136385,0.836090446462244
Spain,40.463667,13,15,0.13834592570678528,1.1483727332217146
Sri Lanka,7.873054,11,9,-0.7456384853823828,0.47443128577423677
Sweden,60.128161,13,15,-0.05467670319897677,0.9467911930430668
Switzerland,46.8182,13,15,0.1164825791748656,1.1235379373387764
Taiwan*,23.7,5,8,-1.4757600635137542,0.22860490674767323
Thailand,15.870032000000002,12,10,-1.093907091829899,0.33490542788619704
Tunisia,33.886917,11,12,0.10537492790165714,1.1111271248307641
Turkey,38.9637,11,15,-0.029917448483897185,0.9705256486053621
US,40.0,13,15,0.13718196000064614,1.1470368443576155
Ukraine,48.3794,13,15,-0.2388750623008854,0.7875132663221444
United Arab Emirates,23.424076,10,15,0.47948212285884195,1.6152376908771193
United Kingdom,55.22978733969726,13,15,-0.01927876461949027,0.9809058822712798
Uruguay,-32.5228,10,12,0.0021896038840092946,1.0021920028171787
Uzbekistan,41.377491,8,10,-0.32088613640790087,0.725505854989996
Venezuela,6.4238,12,15,-0.1823117739731704,0.8333414857238635
Vietnam,14.058324,7,10,0.2839663084190912,1.328388174501185
West Bank and Gaza,31.9522,10,13,0.4237173929902046,1.527629813881142
Zambia,-13.133897,14,10,-0.2115023325491961,0.8093673931612617
Zimbabwe,-19.015438,12,11,-0.01692636526025315,0.9832160808296663
