region,lat,n_cold,n_warm,dlog,ratio
Afghanistan,33.93911,12,15,0.304026212266284,1.3553045812286515
Albania,41.1533,10,12,-0.03708789416301425,0.9635914375639951
Algeria,28.0339,11,12,0.15219445674597576,1.1643866372553535
Argentina,-38.4161,15,13,-0.09136915872158295,0.9126807246528605
Armenia,40.0691,11,13,-0.05368146546419705,0.9477339444183959
Australia,-33.78229959370005,13,9,0.9415430314340252,2.5639345992851545
Austria,47.5162,13,15,-0.09651027061666922,0.9080005718260505
Azerbaijan,40.1431,12,13,0.3495643148949473,1.4184494166644865
Bahrain,26.0275,12,15,-0.16788467966496867,0.8454513267933979
Bangladesh,23.685,12,15,-0.17311915532510364,0.8410373947896647
Belarus,53.7098,10,10,-0.1285073587727324,0.879407091037683
Belgium,50.8333,13,15,0.3703655257323417,1.448263895645602
Bolivia,-16.2902,15,12,-0.4370027699204474,0.6459696421236263
Bosnia and Herzegovina,43.9159,11,15,0.11628222563509949,1.123312855084735
Botswana,-22.3285,11,11,0.41346142127222585,1.5120425535933066
Brazil,-14.235,15,13,-0.20870018353445283,0.8116385417668923
Brunei,4.5353,4,3,-0.298510157063845,0.7419227460551349
Bulgaria,42.7339,12,15,-0.05935836521279403,0.9423689963717913
Burma,21.9162,11,9,-1.9852874304636554,0.1373411324177347
Canada,52.18975974959941,13,15,-0.1431432078750865,0.8666299517745466
Chile,-35.6751,15,13,-0.11523269340337292,0.8911587530153363
China,23.65995342661174,13,15,1.2734183703330308,3.573045703577755
Colombia,4.5709,12,15,-0.05331047382185461,0.9480856110195908
Costa Rica,9.7489,12,13,0.17540016905904354,1.1917230118829438
Croatia,45.1,13,14,0.05511831991581473,1.0566656318679435
Cuba,21.521757,10,9,-0.49780781260354173,0.6078617470437909
Cyprus,35.1264,12,10,-0.13166817574347256,0.8766318345296535
Czechia,49.8175,13,15,-0.017215984022137615,0.9829313642372951
Denmark,56.37399668911018,13,15,0.13372861558382798,1.1430825627531793
Dominican Republic,18.7357,11,12,-0.15139293193793646,0.859509903406259
Ecuador,-1.8312,15,12,0.23133184538264442,1.2602773872970037
Egypt,26.820553,11,10,0.13031396444038612,1.1391859910758093
El Salvador,13.794200000000002,10,14,-0.040965409255937835,0.9598623317258101
Estonia,58.59530000000001,13,11,0.06108224743208808,1.0629863384886193
Ethiopia,9.145,10,14,0.219083870128566,1.2449356852250675
Finland,61.924110000000006,13,13,0.1263067541270056,1.1346301673916872
France,44.61517569245893,13,15,0.027480481271873025,1.0278615523612609
Georgia,42.3154,12,11,-0.07246046998526595,0.9301025128996278
