region,epoch,cfr_cold,cfr_warm,confirmed_cold,confirmed_warm,deaths_cold,deaths_warm,months_cold,months_warm,cfr_ratio,dpm_cold,dpm_transition,dpm_warm,dpm_ratio,lag
Alabama,E2020,0.023252272550695362,0.010220962719725708,321775.0,200079.0,7482.0,2045.0,5.0,5.0,2.2749591392032165,1525.9469100186918,170.50141897562503,417.0758394798483,3.658679706601467,14
Alabama,E2021,0.007541875323778277,0.010862860916195604,463280.0,275618.0,3494.0,2994.0,5.0,5.0,0.6942807591814032,712.5980357665477,210.67938493040748,610.6235028863891,1.167000668002672,14
Alaska,E2020,0.004598590338662541,0.0058076539678412,46536.0,23073.0,214.0,134.0,5.0,5.0,0.7918154842086628,288.80086910168086,99.86572109123543,180.8379273814263,1.5970149253731345,14
Alaska,E2021,0.0036954374153891187,0.0036087200875558317,109324.0,67614.0,404.0,244.0,5.0,5.0,1.024029940180819,545.2128556872854,337.3841928757954,329.2869722467763,1.6557377049180326,14
Arizona,E2020,0.01814001493626912,0.01388939060072969,595865.0,166098.0,10809.0,2307.0,5.0,5.0,1.3060338972190848,1485.014460652887,118.97701202011288,316.95146273718296,4.685305591677503,14
Arizona,E2021,0.009746146872166819,0.006877364789672824,838280.0,314510.0,8170.0,2163.0,5.0,5.0,1.4171339125128,1122.4505637463305,220.78066780175683,297.16775635046673,3.7771613499768835,14
Arkansas,E2020,0.016135980349024782,0.015654652353568846,218208.0,139639.0,3521.0,2186.0,5.0,5.0,1.0307466422495295,1166.7424392041364,210.41790653070908,724.3677853167402,1.610704483074108,14
Arkansas,E2021,0.008651671686888306,0.009980852766346594,319707.0,139968.0,2766.0,1397.0,5.0,5.0,0.8668269024125859,916.5605188408525,156.7364878567329,462.91939436755996,1.9799570508231927,14
California,E2020,0.01488415283723557,0.010324017306500826,2786991.0,771502.0,41482.0,7965.0,5.0,5.0,1.4417016550198263,1049.852345690598,85.66969264169217,201.58319110519295,5.208035153797865,14
California,E2021,0.0038997226470780886,0.0036333632494716423,4183118.0,2141542.0,16313.0,7781.0,5.0,5.0,1.0733093223324643,412.85958524783587,102.90486566650527,196.92640426735798,2.0965171571777406,14
Colorado,E2020,0.00874095677657752,0.010382109768465202,353165.0,116354.0,3087.0,1208.0,5.0,5.0,0.8419249046207787,536.0551343211426,233.5581974933388,209.76825470033702,2.55546357615894,14
Colorado,E2021,0.004644282943542606,0.005187391511759824,662535.0,249451.0,3077.0,1294.0,5.0,5.0,0.895302182804982,534.318642146471,208.37906096059967,224.70208740251334,2.3778979907264293,14
Connecticut,E2020,0.013562111295354966,0.008439366398338094,239417.0,38510.0,3247.0,325.0,5.0,5.0,1.6070058645665224,910.7261210668314,109.10762583769554,91.15675680527262,9.990769230769232,14
Connecticut,E2021,0.00599790073474284,0.004952710564788018,333450.0,134068.0,2000.0,664.0,5.0,5.0,1.2110339694359986,560.9646572632162,58.05984202674287,186.24026621138776,3.0120481927710845,14
Delaware,E2021,0.006471561710652382,0.004720161834120027,114810.0,53388.0,743.0,252.0,5.0,5.0,1.3710465738424975,763.0185548038334,187.93054579959826,258.7896040519058,2.948412698412698,14
District of Columbia,E2021,0.001913388211326157,0.0019034897311738187,72646.0,29945.0,139.0,57.0,5.0,5.0,1.005200175230908,196.9538745361311,26.92175263443519,80.76525790330557,2.43859649122807,14
Florida,E2020,0.01328486250665239,0.014733890858114822,1255188.0,1099981.0,16675.0,16207.0,5.0,5.0,0.9016533809421856,776.3853333337679,173.66820349834808,754.5953281763344,1.0288764114271611,14
Florida,E2021,0.005905590759605358,0.010417909926887575,2194192.0,1432725.0,12958.0,14926.0,5.0,5.0,0.5668690554103971,603.3224077564596,163.37847884067116,694.9521730338722,0.8681495377194157,14
Georgia,E2020,0.015232741521385085,0.013286792990454481,698758.0,350950.0,10644.0,4663.0,5.0,5.0,1.146457352976645,1002.5031497756094,223.02963722929755,439.18378310819867,2.282650654085353,14
Georgia,E2021,0.008800029583815804,0.0103199252201182,865338.0,530624.0,7615.0,5476.0,5.0,5.0,0.8527222238646233,717.2173511406676,273.70106663358894,515.7560360927506,1.3906135865595324,14
Hawaii,E2021,0.0026392643290325465,0.004007002892906294,156483.0,106813.0,413.0,428.0,5.0,5.0,0.6586629457405453,291.6930343985897,115.82967951905258,302.2872124033811,0.9649532710280374,14
Idaho,E2020,0.010756676557863502,0.01219679633867277,115928.0,43700.0,1247.0,533.0,5.0,5.0,0.881926389453349,697.7921899874934,171.23048126397194,298.254400371559,2.339587242026266,14
Idaho,E2021,0.007640190283984431,0.011615148878211192,152614.0,79293.0,1166.0,921.0,5.0,5.0,0.6577780762084446,652.466474358795,307.7672048862241,515.3701740003861,1.2660152008686212,14
Illinois,E2020,0.01543045125948326,0.01238603270269066,828038.0,246891.0,12777.0,3058.0,5.0,5.0,1.245794487215527,1008.3002277257547,207.38929314105684,241.32285328209733,4.178221059516024,14
Illinois,E2021,0.006424531964942264,0.004014244983724173,1372707.0,653423.0,8819.0,2623.0,5.0,5.0,1.6004334541092142,695.9536439158982,82.62427318062653,206.99471686034707,3.3621807091117044,14
Indiana,E2020,0.01576688048049943,0.012039228123246567,507139.0,163964.0,7996.0,1974.0,5.0,5.0,1.3096255274086162,1187.7213144729842,229.64196500440642,293.21684276759265,4.050658561296859,14
Indiana,E2021,0.009640547653973253,0.007368364797520274,666041.0,299388.0,6421.0,2206.0,5.0,5.0,1.3083700276644354,953.7717058818199,147.05403968587476,327.67799146165623,2.9106980961015414,14
Iowa,E2020,0.017371641871399602,0.00968583524706691,222892.0,64011.0,3872.0,620.0,5.0,5.0,1.7935099481131611,1227.2310915447201,196.8260609114853,196.5091107328839,6.245161290322581,14
Iowa,E2021,0.0084786528158748,0.006736675252625322,272331.0,126175.0,2309.0,850.0,5.0,5.0,1.2585811988741211,731.8379623906918,157.84118894350996,269.4076518112118,2.716470588235294,14
Kansas,E2020,0.016983021593358162,0.013284729620454632,216687.0,77909.0,3680.0,1035.0,5.0,5.0,1.2783866949922136,1263.1662773048151,178.14763530467366,355.2655154919792,3.555555555555556,14
Kansas,E2021,0.005621766141689992,0.005682571110089097,335126.0,128287.0,1884.0,729.0,5.0,5.0,0.9892997435102662,646.686213707139,234.09766334833802,250.23049352043756,2.5843621399176953,14
Kentucky,E2020,0.014474890273011383,0.010843200667675135,319657.0,153368.0,4627.0,1663.0,5.0,5.0,1.3349278240476306,1035.6621892425878,165.6343246249222,372.2295700692508,2.7823211064341553,14
Kentucky,E2021,0.008752550184458937,0.006792522388288967,567606.0,325505.0,4968.0,2211.0,5.0,5.0,1.2885566928052041,1111.9882766710994,354.99464710152245,494.88850235905807,2.2469470827679783,14
Louisiana,E2020,0.016040482569574577,0.01286601412133673,258284.0,239779.0,4143.0,3085.0,5.0,5.0,1.2467328590113524,891.1988786769214,137.67011401236536,663.6129714502299,1.3429497568881685,14
Louisiana,E2021,0.0052937961941213335,0.007235838683361118,473951.0,253737.0,2509.0,1836.0,5.0,5.0,0.7316078240238371,539.7098688391011,105.40368104071723,394.9411395729731,1.3665577342047932,14
Maine,E2021,0.0079524978902312,0.006633115443203949,131531.0,51861.0,1046.0,344.0,5.0,5.0,1.1989084101316287,778.1510654569369,150.27391512648302,255.91201387876316,3.0406976744186047,14
Maryland,E2020,0.015785734957510063,0.02239811129439896,266063.0,66077.0,4200.0,1480.0,5.0,5.0,0.7047797356671571,694.7109340884731,113.46945256778393,244.80290058355718,2.837837837837838,14
Maryland,E2021,0.007398219013023439,0.005394066526820497,450649.0,226916.0,3334.0,1224.0,5.0,5.0,1.3715476025810676,551.4681557740403,86.34264466528165,202.45861507721216,2.7238562091503264,14
Massachusetts,E2020,0.010765108887975782,0.009451911115447471,477004.0,81994.0,5135.0,775.0,5.0,5.0,1.1389346298847565,745.0123706873976,90.24297849416968,112.44101018164228,6.625806451612903,14
Massachusetts,E2021,0.0053351345415126135,0.005179379740131699,846839.0,300229.0,4518.0,1555.0,5.0,5.0,1.030072095346489,655.4948180653676,78.92633488879149,225.6074462354242,2.905466237942122,14
Michigan,E2020,0.016974378125313102,0.01694824169549592,548945.0,148865.0,9318.0,2523.0,5.0,5.0,1.001542132233347,933.0262764351187,309.60691637018533,252.63203428265768,3.6932223543400715,14
Michigan,E2021,0.010381888822367132,0.007341051380449355,1112418.0,434134.0,11549.0,3187.0,5.0,5.0,1.4142236968966213,1156.4198826517693,172.92727832189848,319.1194186519342,3.6237841229996866,14
Minnesota,E2020,0.01111958540062578,0.00914577816099033,371057.0,97422.0,4126.0,891.0,5.0,5.0,1.2158162164980526,731.6080198140588,180.3309152086519,157.98903190846494,4.630751964085298,14
Minnesota,E2021,0.005588785046728972,0.004824521098403522,642000.0,239402.0,3588.0,1155.0,5.0,5.0,1.158412396326415,636.211724452943,134.40593286937872,204.80059691838048,3.1064935064935066,14
Mississippi,E2020,0.0193636275177581,0.016000057117562222,184986.0,140062.0,3582.0,2241.0,5.0,5.0,1.2102223995503059,1203.5687729344197,178.7544911225883,752.986493619775,1.5983935742971889,14
Mississippi,E2021,0.007697078280044101,0.00743062950953059,290240.0,167146.0,2234.0,1242.0,5.0,5.0,1.035858169240138,750.6344608418462,106.17747968935696,417.31781574108015,1.7987117552334944,14
Missouri,E2020,0.014385063624758061,0.013574912633254591,388528.0,215471.0,5589.0,2925.0,5.0,5.0,1.0596800151419639,843.4480954960113,181.54733563816453,441.4180854045148,1.9107692307692308,14
Missouri,E2021,0.013524930523848386,0.008191414496833216,556306.0,248675.0,7524.0,2037.0,5.0,5.0,1.6511105046725563,1135.4631366097672,78.47432629413596,307.4080820406826,3.693667157584683,14
Montana,E2020,0.014104333040654485,0.013965087281795512,71751.0,24060.0,1012.0,336.0,5.0,5.0,1.0099709909468657,946.8757777574015,337.76892862689914,314.37772858348507,3.011904761904762,14
Montana,E2021,0.008075857219671589,0.007445409590132054,96708.0,53993.0,781.0,402.0,5.0,5.0,1.0846760170689753,730.7410893562554,448.17539283181355,376.1304966980982,1.9427860696517412,14
Nebraska,E2020,0.010287561141010287,0.006021565607057835,138614.0,35705.0,1426.0,215.0,5.0,5.0,1.7084528862314992,737.1764384762677,144.74712676953362,111.14511519803474,6.632558139534884,14
Nebraska,E2021,0.005923599558450846,0.01090065820534896,192957.0,72014.0,1143.0,785.0,5.0,5.0,0.5434166861175531,590.8784496342033,106.4925289804426,405.80890897887105,1.4560509554140126,14
Nevada,E2020,0.016970359751922404,0.017086854296156622,203001.0,85914.0,3445.0,1468.0,5.0,5.0,0.993182212347862,1118.449844748123,127.91559908004659,476.5992371814934,2.3467302452316074,14
Nevada,E2021,0.009799463830375428,0.00823352807002723,274913.0,153883.0,2694.0,1267.0,5.0,5.0,1.1901901283422744,874.6310251818414,224.98860447327993,411.3428021178148,2.1262825572217836,14
New Hampshire,E2021,0.004950029394473839,0.005193367813890131,170100.0,46983.0,842.0,244.0,5.0,5.0,0.9531443895105097,619.2492375217969,104.43395692172822,179.4498978091668,3.4508196721311473,14
New Jersey,E2020,0.012839936483454426,0.012065074974523221,658726.0,109904.0,8458.0,1326.0,5.0,5.0,1.0642235137839933,952.242633854939,144.44635838683928,149.28750679731013,6.378582202111613,14
New Jersey,E2021,0.005145420575687638,0.0035137137380138205,1000890.0,477842.0,5150.0,1679.0,5.0,5.0,1.4643824054364099,579.8119607889496,81.0610896636978,189.0299577018731,3.0673019654556284,14
New Mexico,E2020,0.019206128325594853,0.01580946514731547,145162.0,38964.0,2788.0,616.0,5.0,5.0,1.2148499741533731,1329.6267840629828,192.671886930217,293.7769365074596,4.525974025974026,14
New Mexico,E2021,0.009194350687618742,0.010768710405792067,242649.0,109391.0,2231.0,1178.0,5.0,5.0,0.8538023905511899,1063.9875736171143,217.94814932452766,561.8007000093951,1.8938879456706286,14
New York,E2020,0.0127106598686477,0.009810731370402202,1361377.0,254823.0,17304.0,2500.0,5.0,5.0,1.295587391883365,889.5029552687038,106.09882684203679,128.5111759230097,6.9216,14
New York,E2021,0.004580175859378175,0.0041338145618084274,2436151.0,968355.0,11158.0,4003.0,5.0,5.0,1.1079780650282671,573.5710803795768,80.24237824632723,205.7720948879231,2.7874094429178116,14
North Carolina,E2020,0.011835864749951915,0.011499884610605172,639497.0,281655.0,7569.0,3239.0,5.0,5.0,1.02921595743986,721.6761421819276,137.01263262193552,308.826664622442,2.3368323556653285,14
North Carolina,E2021,0.004274001430744335,0.006111942932395475,1151848.0,643167.0,4923.0,3931.0,5.0,5.0,0.6992868680253221,469.389833262205,215.0059057498014,374.8063039922258,1.2523530908165863,14
North Dakota,E2020,0.013467722416237336,0.013146320007819373,57842.0,20462.0,779.0,269.0,5.0,5.0,1.0244480895206258,1022.2265379982206,511.7693835934609,352.9896517606179,2.8959107806691446,14
North Dakota,E2021,0.004172507446994918,0.0022611644997173543,91312.0,38918.0,381.0,88.0,5.0,5.0,1.8452914184335028,499.95932089515026,203.3955242486832,115.476168605704,4.329545454545454,14
Ohio,E2020,0.01663488674584003,0.015388473971686545,801869.0,179420.0,13339.0,2761.0,5.0,5.0,1.0809965157329295,1141.1485914227785,169.4741254673157,236.20295831158944,4.831220572256429,14
Ohio,E2021,0.0103585537227466,0.006908497690446514,1127474.0,545560.0,11679.0,3769.0,5.0,5.0,1.4993930933886004,999.1359471644523,190.3482731775757,322.43714229495856,3.09869992040329,14
