scope,winter,metric,eff,share,n,p
美国 52 个地区,2020-21 冬,病死率 (严重度),-8.419147374800861,27.450980392156865,51,0.006750018799794313
美国 52 个地区,2020-21 冬,死亡总数 (负担),155.6255101278315,97.95918367346938,49,7.105427357601002e-15
美国 52 个地区,2020-21 冬,新增确诊 (传播),175.695613268139,98.0392156862745,51,6.528366037592496e-10
美国 52 个地区,2021-22 冬,病死率 (严重度),-14.358076719014335,27.450980392156865,51,0.00025652907738441395
美国 52 个地区,2021-22 冬,死亡总数 (负担),152.44882259700972,97.95918367346938,49,7.105427357601002e-15
美国 52 个地区,2021-22 冬,新增确诊 (传播),191.0542349676516,100.0,51,5.145276051717656e-10
全球北半球 93 国,2020-21 冬,病死率 (严重度),9.988086642628492,59.49367088607595,79,0.055399310942945715
全球北半球 93 国,2020-21 冬,死亡总数 (负担),128.13321282385454,69.62025316455697,79,1.0234794664676715e-06
全球北半球 93 国,2020-21 冬,新增确诊 (传播),107.41629369833592,73.41772151898735,79,3.359040892715277e-07
全球北半球 93 国,2021-22 冬,病死率 (严重度),-30.78373534216935,23.809523809523807,84,3.821563267646046e-08
全球北半球 93 国,2021-22 冬,死亡总数 (负担),132.25187491408656,83.33333333333334,84,3.744522309972526e-11
全球北半球 93 国,2021-22 冬,新增确诊 (传播),235.54523067983996,92.85714285714286,84,2.2695691864695438e-13
全球南半球 15 国,2021 冬,病死率 (严重度),118.51607683431587,100.0,15,6.103515625e-05
全球南半球 15 国,2021 冬,死亡总数 (负担),119.60944756173828,86.66666666666667,15,0.00030517578125
全球南半球 15 国,2021 冬,新增确诊 (传播),0.5003616865459914,53.333333333333336,15,0.97796630859375
